Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)"
count,186.0
mean,3.303763440860215
std,2.7817818182376963
min,0.0
10%,1.5
25%,2.0
50%,2.75
75%,3.5
95%,6.6875
99%,15.912500000000044
max,23.25
skewness,4.530921293635609
kurtosis,26.97638726218143
