"(Vol Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,152.0,151.0,166.0,153.0,165.0,193.0
mean,4.921131334806745,4.139072847682119,4.192795351327183,2.2631365208843954,3.6166666666666667,8.347171131193328
std,2.5564744150002046,2.2961264050550807,2.5896902022546207,2.009188987843056,2.594778606405595,5.087890090204604
min,0.25,1.25,0.5,0.5,0.0,0.0
5%,2.003289794921875,1.875,1.25,0.75,1.5,2.5
25%,3.25,2.75,2.5,1.25,2.25,5.25
50%,4.5,3.5,3.75,1.75,3.0,7.5
68%,5.5,4.5,4.75,2.25,3.5,9.5
90%,7.725000000000001,6.5,7.5,3.75,5.75,13.700000000000003
95%,9.974999999999994,7.5,9.5,4.600000000000001,8.949999999999996,17.25
99%,15.245000000000005,13.5,12.0,11.739999999999995,12.18999999999994,26.289999999999893
99.7%,15.773499999999999,14.71250000000002,14.651249999999976,13.49600000000003,18.687000000000076,34.93800000000004
max,16.0,15.5,17.25,14.75,22.5,38.25
