Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,3.25,0.4898298202950959,0.4898298202950959
2024-10-01,2.0,-0.22457737561859478,-0.22457737561859478
2024-10-02,1.25,-0.6532216931668092,-0.6532216931668092
2024-10-03,1.5,-0.5103402539840711,-0.5103402539840711
2024-10-07,1.25,-0.6532216931668092,-0.6532216931668092
2024-10-08,2.5,0.0611855027468815,0.0611855027468815
2024-10-09,1.75,-0.3674588148013329,-0.3674588148013329
2024-10-14,1.25,-0.6532216931668092,-0.6532216931668092
2024-10-15,1.25,-0.6532216931668092,-0.6532216931668092
2024-10-16,1.0,-0.7961031323495473,-0.7961031323495473
2024-10-17,1.5,-0.5103402539840711,-0.5103402539840711
2024-10-18,1.25,-0.6532216931668092,-0.6532216931668092
2024-10-21,1.75,-0.3674588148013329,-0.3674588148013329
2024-10-22,1.25,-0.6532216931668092,-0.6532216931668092
2024-10-23,2.0,-0.22457737561859478,-0.22457737561859478
2024-10-24,2.0,-0.22457737561859478,-0.22457737561859478
2024-10-25,2.25,-0.08169593643585665,-0.08169593643585665
2024-10-28,2.0,-0.22457737561859478,-0.22457737561859478
2024-10-29,3.25,0.4898298202950959,0.4898298202950959
2024-11-04,3.75,0.7755926986605722,0.7755926986605722
2024-11-05,2.5,0.0611855027468815,0.0611855027468815
2024-11-06,2.75,0.20406694192961963,0.20406694192961963
2024-11-07,3.75,0.7755926986605722,0.7755926986605722
2024-11-08,2.0,-0.22457737561859478,-0.22457737561859478
2024-11-11,2.25,-0.08169593643585665,-0.08169593643585665
2024-11-12,1.75,-0.3674588148013329,-0.3674588148013329
2024-11-15,2.25,-0.08169593643585665,-0.08169593643585665
2024-11-18,1.75,-0.3674588148013329,-0.3674588148013329
2024-11-19,2.25,-0.08169593643585665,-0.08169593643585665
2024-11-20,1.5,-0.5103402539840711,-0.5103402539840711
2024-11-21,1.5,-0.5103402539840711,-0.5103402539840711
2024-11-22,2.0,-0.22457737561859478,-0.22457737561859478
2024-11-25,1.5,-0.5103402539840711,-0.5103402539840711
2024-11-26,2.0,-0.22457737561859478,-0.22457737561859478
2024-12-02,4.0,0.9184741378433103,0.9184741378433103
2024-12-03,3.75,0.7755926986605722,0.7755926986605722
2024-12-04,1.5,-0.5103402539840711,-0.5103402539840711
2024-12-05,3.5,0.632711259477834,0.632711259477834
2024-12-09,3.5,0.632711259477834,0.632711259477834
2024-12-10,2.75,0.20406694192961963,0.20406694192961963
2024-12-13,1.5,-0.5103402539840711,-0.5103402539840711
2024-12-16,1.5,-0.5103402539840711,-0.5103402539840711
2024-12-17,2.25,-0.08169593643585665,-0.08169593643585665
2024-12-18,4.75,1.3471184553915247,1.3471184553915247
2024-12-23,1.75,-0.3674588148013329,-0.3674588148013329
2024-12-26,1.25,-0.6532216931668092,-0.6532216931668092
2024-12-27,1.5,-0.5103402539840711,-0.5103402539840711
2024-12-30,2.0,-0.22457737561859478,-0.22457737561859478
2024-12-31,1.25,-0.6532216931668092,-0.6532216931668092
2025-01-02,1.75,-0.3674588148013329,-0.3674588148013329
2025-01-03,1.0,-0.7961031323495473,-0.7961031323495473
2025-01-06,3.0,0.34694838111235776,0.34694838111235776
2025-01-07,1.75,-0.3674588148013329,-0.3674588148013329
2025-01-08,3.5,0.632711259477834,0.632711259477834
2025-01-13,2.25,-0.08169593643585665,-0.08169593643585665
2025-01-16,1.75,-0.3674588148013329,-0.3674588148013329
2025-01-17,3.0,0.34694838111235776,0.34694838111235776
2025-01-21,2.0,-0.22457737561859478,-0.22457737561859478
2025-01-22,2.75,0.20406694192961963,0.20406694192961963
2025-01-23,1.5,-0.5103402539840711,-0.5103402539840711
2025-01-24,1.25,-0.6532216931668092,-0.6532216931668092
2025-01-27,1.75,-0.3674588148013329,-0.3674588148013329
2025-01-28,2.5,0.0611855027468815,0.0611855027468815
2025-01-29,3.25,0.4898298202950959,0.4898298202950959
2025-02-03,3.75,0.7755926986605722,0.7755926986605722
2025-02-04,1.75,-0.3674588148013329,-0.3674588148013329
2025-02-05,1.75,-0.3674588148013329,-0.3674588148013329
2025-02-06,0.75,-0.9389845715322855,-0.9389845715322855
2025-02-10,2.0,-0.22457737561859478,-0.22457737561859478
2025-02-11,0.75,-0.9389845715322855,-0.9389845715322855
2025-02-14,1.0,-0.7961031323495473,-0.7961031323495473
2025-02-18,2.0,-0.22457737561859478,-0.22457737561859478
2025-02-19,1.25,-0.6532216931668092,-0.6532216931668092
2025-02-20,1.25,-0.6532216931668092,-0.6532216931668092
2025-02-21,2.501953125,0.06230176399049664,0.06230176399049664
2025-02-24,1.5,-0.5103402539840711,-0.5103402539840711
2025-02-25,1.5,-0.5103402539840711,-0.5103402539840711
2025-02-26,2.5,0.0611855027468815,0.0611855027468815
2025-03-03,4.75,1.3471184553915247,1.3471184553915247
2025-03-04,7.0,2.633051408036168,2.633051408036168
2025-03-05,3.5,0.632711259477834,0.632711259477834
2025-03-06,2.0,-0.22457737561859478,-0.22457737561859478
2025-03-10,3.25,0.4898298202950959,0.4898298202950959
2025-03-11,2.25,-0.08169593643585665,-0.08169593643585665
2025-03-14,1.5,-0.5103402539840711,-0.5103402539840711
2025-03-17,1.75,-0.3674588148013329,-0.3674588148013329
2025-03-18,1.75,-0.3674588148013329,-0.3674588148013329
2025-03-19,2.25,-0.08169593643585665,-0.08169593643585665
2025-03-20,1.75,-0.3674588148013329,-0.3674588148013329
2025-03-21,1.25,-0.6532216931668092,-0.6532216931668092
2025-03-24,1.75,-0.3674588148013329,-0.3674588148013329
2025-03-25,1.5,-0.5103402539840711,-0.5103402539840711
2025-03-26,2.5,0.0611855027468815,0.0611855027468815
2025-03-31,4.25,1.0613555770260485,1.0613555770260485
2025-04-01,2.0,-0.22457737561859478,-0.22457737561859478
2025-04-02,14.75,7.06237602270105,7.06237602270105
2025-04-03,3.75,0.7755926986605722,0.7755926986605722
2025-04-04,4.0,0.9184741378433103,0.9184741378433103
2025-04-07,10.0,4.347628678229026,4.347628678229026
2025-04-08,8.0,3.204577164767121,3.204577164767121
2025-04-09,11.5,5.2049173133254545,5.2049173133254545
2025-04-14,3.75,0.7755926986605722,0.7755926986605722
2025-04-15,2.75,0.20406694192961963,0.20406694192961963
2025-04-16,3.25,0.4898298202950959,0.4898298202950959
2025-04-17,1.5,-0.5103402539840711,-0.5103402539840711
2025-04-21,2.0,-0.22457737561859478,-0.22457737561859478
2025-04-22,2.0,-0.22457737561859478,-0.22457737561859478
2025-04-23,2.25,-0.08169593643585665,-0.08169593643585665
2025-04-24,1.25,-0.6532216931668092,-0.6532216931668092
2025-04-25,3.5,0.632711259477834,0.632711259477834
2025-04-28,1.5,-0.5103402539840711,-0.5103402539840711
2025-04-29,1.5,-0.5103402539840711,-0.5103402539840711
2025-05-01,3.25,0.4898298202950959,0.4898298202950959
2025-05-05,1.75,-0.3674588148013329,-0.3674588148013329
2025-05-06,1.75,-0.3674588148013329,-0.3674588148013329
2025-05-07,2.5,0.0611855027468815,0.0611855027468815
2025-05-08,2.75,0.20406694192961963,0.20406694192961963
2025-05-09,1.5059814453127274,-0.5069217039253697,-0.5069217039253697
2025-05-12,2.5,0.0611855027468815,0.0611855027468815
2025-05-14,2.0,-0.22457737561859478,-0.22457737561859478
2025-05-16,7.25,2.775932847218906,2.775932847218906
2025-05-19,3.0,0.34694838111235776,0.34694838111235776
2025-05-20,1.75,-0.3674588148013329,-0.3674588148013329
2025-05-21,2.75,0.20406694192961963,0.20406694192961963
2025-05-22,3.0,0.34694838111235776,0.34694838111235776
2025-05-23,2.0,-0.22457737561859478,-0.22457737561859478
2025-05-27,3.0,0.34694838111235776,0.34694838111235776
2025-05-28,2.25,-0.08169593643585665,-0.08169593643585665
2025-06-02,2.25,-0.08169593643585665,-0.08169593643585665
2025-06-03,1.25,-0.6532216931668092,-0.6532216931668092
2025-06-04,1.5,-0.5103402539840711,-0.5103402539840711
2025-06-05,1.25,-0.6532216931668092,-0.6532216931668092
2025-06-09,2.0,-0.22457737561859478,-0.22457737561859478
2025-06-10,1.25,-0.6532216931668092,-0.6532216931668092
2025-06-13,2.7559814453127274,0.20748549198832095,0.20748549198832095
2025-06-16,1.25,-0.6532216931668092,-0.6532216931668092
2025-06-17,1.5,-0.5103402539840711,-0.5103402539840711
2025-06-18,3.25,0.4898298202950959,0.4898298202950959
2025-06-20,1.5,-0.5103402539840711,-0.5103402539840711
2025-06-23,3.25,0.4898298202950959,0.4898298202950959
2025-06-24,1.75,-0.3674588148013329,-0.3674588148013329
2025-06-25,1.75,-0.3674588148013329,-0.3674588148013329
2025-06-30,2.25,-0.08169593643585665,-0.08169593643585665
2025-07-01,2.0,-0.22457737561859478,-0.22457737561859478
2025-07-02,1.5,-0.5103402539840711,-0.5103402539840711
2025-07-07,1.75,-0.3674588148013329,-0.3674588148013329
2025-07-08,1.75,-0.3674588148013329,-0.3674588148013329
2025-07-09,1.25,-0.6532216931668092,-0.6532216931668092
2025-07-10,1.0,-0.7961031323495473,-0.7961031323495473
2025-07-11,2.0,-0.22457737561859478,-0.22457737561859478
2025-07-14,1.75,-0.3674588148013329,-0.3674588148013329
2025-07-18,1.75,-0.3674588148013329,-0.3674588148013329
2025-07-21,2.0,-0.22457737561859478,-0.22457737561859478
