Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,5.5,-0.8774156255619558,-0.8774156255619558
2024-10-15,8.5,-0.14782545865445987,-0.14782545865445987
2024-10-16,5.5,-0.8774156255619558,-0.8774156255619558
2024-10-17,15.5,1.5545515974630306,1.5545515974630306
2024-10-18,10.0,0.2169696247992881,0.2169696247992881
2024-10-21,6.0,-0.7558172644107065,-0.7558172644107065
2024-10-22,10.5,0.33856798595053744,0.33856798595053744
2024-10-23,7.5,-0.3910221809569585,-0.3910221809569585
2024-10-24,9.5,0.09537126364803877,0.09537126364803877
2024-10-25,8.0,-0.2694238198057092,-0.2694238198057092
2024-10-28,8.5,-0.14782545865445987,-0.14782545865445987
2024-10-29,9.0,-0.026227097503210544,-0.026227097503210544
2024-11-04,7.0,-0.5126205421082078,-0.5126205421082078
2024-11-05,5.5,-0.8774156255619558,-0.8774156255619558
2024-11-06,12.5,0.8249614305555347,0.8249614305555347
2024-11-07,19.0,2.405740125521776,2.405740125521776
2024-11-08,11.5,0.5817647082530361,0.5817647082530361
2024-11-11,10.0,0.2169696247992881,0.2169696247992881
2024-11-12,9.0,-0.026227097503210544,-0.026227097503210544
2024-11-15,18.0,2.1625434032192774,2.1625434032192774
2024-11-18,11.0,0.4601663471017867,0.4601663471017867
2024-11-19,10.5,0.33856798595053744,0.33856798595053744
2024-11-20,6.5,-0.6342189032594572,-0.6342189032594572
2024-11-21,9.0,-0.026227097503210544,-0.026227097503210544
2024-11-22,7.0,-0.5126205421082078,-0.5126205421082078
2024-11-25,17.0,1.9193466809167787,1.9193466809167787
2024-11-26,6.0,-0.7558172644107065,-0.7558172644107065
2024-11-28,4.0,-1.2422107090157037,-1.2422107090157037
2024-11-29,7.5,-0.3910221809569585,-0.3910221809569585
2024-12-02,14.0,1.1897565140092827,1.1897565140092827
2024-12-03,15.5,1.5545515974630306,1.5545515974630306
2024-12-04,2.0,-1.728604153620701,-1.728604153620701
2024-12-05,8.5,-0.14782545865445987,-0.14782545865445987
2024-12-09,6.0,-0.7558172644107065,-0.7558172644107065
2024-12-10,8.0,-0.2694238198057092,-0.2694238198057092
2024-12-13,7.0,-0.5126205421082078,-0.5126205421082078
2024-12-16,3.5,-1.3638090701669532,-1.3638090701669532
2024-12-17,12.0,0.7033630694042854,0.7033630694042854
2024-12-18,8.0,-0.2694238198057092,-0.2694238198057092
2024-12-23,6.0,-0.7558172644107065,-0.7558172644107065
2024-12-24,2.0,-1.728604153620701,-1.728604153620701
2024-12-26,5.5,-0.8774156255619558,-0.8774156255619558
2024-12-27,5.5,-0.8774156255619558,-0.8774156255619558
2024-12-30,8.5,-0.14782545865445987,-0.14782545865445987
2024-12-31,7.5,-0.3910221809569585,-0.3910221809569585
2025-01-02,10.5,0.33856798595053744,0.33856798595053744
2025-01-03,7.0,-0.5126205421082078,-0.5126205421082078
2025-01-06,7.5,-0.3910221809569585,-0.3910221809569585
2025-01-07,4.5,-1.1206123478644545,-1.1206123478644545
2025-01-08,8.5,-0.14782545865445987,-0.14782545865445987
2025-01-09,6.5,-0.6342189032594572,-0.6342189032594572
2025-01-13,6.0,-0.7558172644107065,-0.7558172644107065
2025-01-16,8.0,-0.2694238198057092,-0.2694238198057092
2025-01-17,9.0,-0.026227097503210544,-0.026227097503210544
2025-01-20,14.0,1.1897565140092827,1.1897565140092827
2025-01-21,8.0,-0.2694238198057092,-0.2694238198057092
2025-01-22,6.5,-0.6342189032594572,-0.6342189032594572
2025-01-23,10.5,0.33856798595053744,0.33856798595053744
2025-01-24,3.0,-1.4854074313182024,-1.4854074313182024
2025-01-27,10.5,0.33856798595053744,0.33856798595053744
2025-01-28,4.5,-1.1206123478644545,-1.1206123478644545
2025-01-29,7.0,-0.5126205421082078,-0.5126205421082078
2025-02-03,11.5,0.5817647082530361,0.5817647082530361
2025-02-04,6.0,-0.7558172644107065,-0.7558172644107065
2025-02-05,5.0,-0.9990139867132052,-0.9990139867132052
2025-02-06,10.5,0.33856798595053744,0.33856798595053744
2025-02-10,7.0,-0.5126205421082078,-0.5126205421082078
2025-02-11,3.0,-1.4854074313182024,-1.4854074313182024
2025-02-14,15.5,1.5545515974630306,1.5545515974630306
2025-02-17,2.5,-1.6070057924694519,-1.6070057924694519
2025-02-18,5.0,-0.9990139867132052,-0.9990139867132052
2025-02-19,6.0,-0.7558172644107065,-0.7558172644107065
2025-02-20,7.5,-0.3910221809569585,-0.3910221809569585
2025-02-21,5.0,-0.9990139867132052,-0.9990139867132052
2025-02-24,10.5,0.33856798595053744,0.33856798595053744
2025-02-25,11.0,0.4601663471017867,0.4601663471017867
2025-02-26,11.5,0.5817647082530361,0.5817647082530361
2025-03-03,13.0,0.9465597917067841,0.9465597917067841
2025-03-04,10.5,0.33856798595053744,0.33856798595053744
2025-03-05,13.0,0.9465597917067841,0.9465597917067841
2025-03-06,12.5,0.8249614305555347,0.8249614305555347
2025-03-10,6.0,-0.7558172644107065,-0.7558172644107065
2025-03-11,7.0,-0.5126205421082078,-0.5126205421082078
2025-03-14,8.5,-0.14782545865445987,-0.14782545865445987
2025-03-17,15.0,1.4329532363117814,1.4329532363117814
2025-03-18,9.5,0.09537126364803877,0.09537126364803877
2025-03-19,10.5,0.33856798595053744,0.33856798595053744
2025-03-20,9.0,-0.026227097503210544,-0.026227097503210544
2025-03-21,5.5,-0.8774156255619558,-0.8774156255619558
2025-03-24,4.5,-1.1206123478644545,-1.1206123478644545
2025-03-25,7.5,-0.3910221809569585,-0.3910221809569585
2025-03-26,5.5,-0.8774156255619558,-0.8774156255619558
2025-03-31,6.5,-0.6342189032594572,-0.6342189032594572
2025-04-01,8.0,-0.2694238198057092,-0.2694238198057092
2025-04-02,11.0,0.4601663471017867,0.4601663471017867
2025-04-03,16.0,1.67614995861428,1.67614995861428
2025-04-04,21.0,2.892133570126773,2.892133570126773
2025-04-07,23.5,3.50012537588302,3.50012537588302
2025-04-08,19.5,2.5273384866730253,2.5273384866730253
2025-04-09,28.0,4.594510626244263,4.594510626244263
2025-04-14,17.5,2.040945042068028,2.040945042068028
2025-04-15,10.0,0.2169696247992881,0.2169696247992881
2025-04-16,9.0,-0.026227097503210544,-0.026227097503210544
2025-04-17,7.0,-0.5126205421082078,-0.5126205421082078
2025-04-21,11.5,0.5817647082530361,0.5817647082530361
2025-04-22,10.0,0.2169696247992881,0.2169696247992881
2025-04-23,7.0,-0.5126205421082078,-0.5126205421082078
2025-04-24,9.0,-0.026227097503210544,-0.026227097503210544
2025-04-25,7.5,-0.3910221809569585,-0.3910221809569585
2025-04-28,7.0,-0.5126205421082078,-0.5126205421082078
2025-04-29,8.5,-0.14782545865445987,-0.14782545865445987
2025-05-01,10.0,0.2169696247992881,0.2169696247992881
2025-05-05,12.5,0.8249614305555347,0.8249614305555347
2025-05-06,9.5,0.09537126364803877,0.09537126364803877
2025-05-07,9.0,-0.026227097503210544,-0.026227097503210544
2025-05-08,9.5,0.09537126364803877,0.09537126364803877
2025-05-09,7.5,-0.3910221809569585,-0.3910221809569585
2025-05-12,8.0,-0.2694238198057092,-0.2694238198057092
2025-05-14,9.5,0.09537126364803877,0.09537126364803877
2025-05-16,4.5,-1.1206123478644545,-1.1206123478644545
2025-05-19,9.5,0.09537126364803877,0.09537126364803877
2025-05-20,6.5,-0.6342189032594572,-0.6342189032594572
2025-05-21,7.0,-0.5126205421082078,-0.5126205421082078
