Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.5,-0.7921904981070669,-0.7921904981070669
2024-10-15,3.5,-0.49125775542991695,-0.49125775542991695
2024-10-16,3.0,-0.6417241267684919,-0.6417241267684919
2024-10-17,3.5,-0.49125775542991695,-0.49125775542991695
2024-10-18,3.5,-0.49125775542991695,-0.49125775542991695
2024-10-21,4.5,-0.19032501275276698,-0.19032501275276698
2024-10-22,3.0,-0.6417241267684919,-0.6417241267684919
2024-10-23,4.0,-0.34079138409134196,-0.34079138409134196
2024-10-24,4.0,-0.34079138409134196,-0.34079138409134196
2024-10-25,4.0,-0.34079138409134196,-0.34079138409134196
2024-10-28,4.0,-0.34079138409134196,-0.34079138409134196
2024-10-29,7.0,0.5620068439401079,0.5620068439401079
2024-11-04,7.5,0.7124732152786829,0.7124732152786829
2024-11-05,5.0,-0.039858641414191986,-0.039858641414191986
2024-11-06,5.5,0.110607729924383,0.110607729924383
2024-11-07,7.5,0.7124732152786829,0.7124732152786829
2024-11-08,6.5,0.411540472601533,0.411540472601533
2024-11-11,4.5,-0.19032501275276698,-0.19032501275276698
2024-11-12,7.0,0.5620068439401079,0.5620068439401079
2024-11-15,5.5,0.110607729924383,0.110607729924383
2024-11-18,2.5,-0.7921904981070669,-0.7921904981070669
2024-11-19,4.5,-0.19032501275276698,-0.19032501275276698
2024-11-20,3.5,-0.49125775542991695,-0.49125775542991695
2024-11-21,4.0,-0.34079138409134196,-0.34079138409134196
2024-11-22,3.5,-0.49125775542991695,-0.49125775542991695
2024-11-25,4.0,-0.34079138409134196,-0.34079138409134196
2024-11-26,5.0,-0.039858641414191986,-0.039858641414191986
2024-12-02,5.5,0.110607729924383,0.110607729924383
2024-12-03,6.5,0.411540472601533,0.411540472601533
2024-12-04,3.0,-0.6417241267684919,-0.6417241267684919
2024-12-05,5.5,0.110607729924383,0.110607729924383
2024-12-09,3.0,-0.6417241267684919,-0.6417241267684919
2024-12-10,4.0,-0.34079138409134196,-0.34079138409134196
2024-12-13,3.5,-0.49125775542991695,-0.49125775542991695
2024-12-16,3.5,-0.49125775542991695,-0.49125775542991695
2024-12-17,4.0,-0.34079138409134196,-0.34079138409134196
2024-12-18,9.5,1.314338700632983,1.314338700632983
2024-12-23,3.5,-0.49125775542991695,-0.49125775542991695
2024-12-26,3.0,-0.6417241267684919,-0.6417241267684919
2024-12-27,4.0,-0.34079138409134196,-0.34079138409134196
2024-12-30,5.0,-0.039858641414191986,-0.039858641414191986
2024-12-31,2.5,-0.7921904981070669,-0.7921904981070669
2025-01-02,4.5,-0.19032501275276698,-0.19032501275276698
2025-01-03,2.0,-0.9426568694456419,-0.9426568694456419
2025-01-06,5.5,0.110607729924383,0.110607729924383
