Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,5.75,0.3958443601642174,0.3958443601642174
2022-12-21,4.75,0.030097820993626973,0.030097820993626973
2022-12-27,3.75,-0.3356487181769635,-0.3356487181769635
2022-12-28,3.25,-0.5185219877622588,-0.5185219877622588
2022-12-29,4.75,0.030097820993626973,0.030097820993626973
2022-12-30,3.75,-0.3356487181769635,-0.3356487181769635
2023-01-03,8.5,1.4016473428833411,1.4016473428833411
2023-01-04,6.25,0.5787176297495127,0.5787176297495127
2023-01-05,3.75,-0.3356487181769635,-0.3356487181769635
2023-01-09,5.25,0.21297109057892222,0.21297109057892222
2023-01-10,4.75,0.030097820993626973,0.030097820993626973
2023-01-11,3.75,-0.3356487181769635,-0.3356487181769635
2023-01-13,6.75,0.761590899334808,0.761590899334808
2023-01-17,3.0,-0.6099586225549063,-0.6099586225549063
2023-01-19,8.0,1.2187740732980459,1.2187740732980459
2023-01-20,4.5,-0.06133881379902064,-0.06133881379902064
2023-01-23,5.0,0.12153445578627459,0.12153445578627459
2023-01-24,3.75,-0.3356487181769635,-0.3356487181769635
2023-01-25,5.0,0.12153445578627459,0.12153445578627459
2023-01-30,8.0,1.2187740732980459,1.2187740732980459
2023-01-31,4.25,-0.15277544859166825,-0.15277544859166825
2023-02-01,5.75,0.3958443601642174,0.3958443601642174
2023-02-02,4.0,-0.24421208338431588,-0.24421208338431588
2023-02-06,10.0,1.950267151639227,1.950267151639227
2023-02-07,4.5,-0.06133881379902064,-0.06133881379902064
2023-02-08,3.25,-0.5185219877622588,-0.5185219877622588
2023-02-09,5.25,0.21297109057892222,0.21297109057892222
2023-02-10,7.0,0.8530275341274555,0.8530275341274555
2023-02-13,2.75,-0.7013952573475539,-0.7013952573475539
2023-02-15,3.75,-0.3356487181769635,-0.3356487181769635
2023-02-17,5.0,0.12153445578627459,0.12153445578627459
2023-02-21,4.75,0.030097820993626973,0.030097820993626973
2023-02-22,5.0,0.12153445578627459,0.12153445578627459
2023-02-27,10.0,1.950267151639227,1.950267151639227
2023-02-28,11.75,2.59032359518776,2.59032359518776
2023-03-01,12.5,2.864633499565703,2.864633499565703
2023-03-02,11.0,2.3160136908098172,2.3160136908098172
2023-03-03,12.0,2.6817602299804078,2.6817602299804078
2023-03-06,10.5,2.133140421224522,2.133140421224522
2023-03-07,4.25,-0.15277544859166825,-0.15277544859166825
2023-03-08,4.25,-0.15277544859166825,-0.15277544859166825
2023-03-09,3.5,-0.4270853529696111,-0.4270853529696111
2023-03-13,28.25,8.625141491502504,8.625141491502504
2023-03-16,8.75,1.4930839776759888,1.4930839776759888
2023-03-17,7.75,1.1273374385053985,1.1273374385053985
2023-03-20,21.75,6.247788986893665,6.247788986893665
2023-03-21,14.25,3.5046899431142364,3.5046899431142364
2023-03-22,5.25,0.21297109057892222,0.21297109057892222
2023-03-23,7.5,1.0359008037127508,1.0359008037127508
2023-03-24,18.0,4.876239465003951,4.876239465003951
2023-03-27,12.75,2.9560701343583506,2.9560701343583506
2023-03-28,9.5,1.7673938820539317,1.7673938820539317
2023-03-29,6.25,0.5787176297495127,0.5787176297495127
2023-04-03,4.5,-0.06133881379902064,-0.06133881379902064
2023-04-04,5.75,0.3958443601642174,0.3958443601642174
2023-04-05,4.0,-0.24421208338431588,-0.24421208338431588
2023-04-06,4.25,-0.15277544859166825,-0.15277544859166825
2023-04-10,2.25,-0.8842685269328492,-0.8842685269328492
2023-04-11,5.25,0.21297109057892222,0.21297109057892222
2023-04-14,4.25,-0.15277544859166825,-0.15277544859166825
2023-04-17,5.25,0.21297109057892222,0.21297109057892222
2023-04-18,4.0,-0.24421208338431588,-0.24421208338431588
2023-04-19,8.0,1.2187740732980459,1.2187740732980459
2023-04-20,6.25,0.5787176297495127,0.5787176297495127
2023-04-21,4.75,0.030097820993626973,0.030097820993626973
2023-04-24,4.0,-0.24421208338431588,-0.24421208338431588
2023-04-25,4.75,0.030097820993626973,0.030097820993626973
2023-04-26,3.75,-0.3356487181769635,-0.3356487181769635
2023-05-01,3.75,-0.3356487181769635,-0.3356487181769635
2023-05-02,6.75,0.761590899334808,0.761590899334808
2023-05-03,6.5,0.6701542645421603,0.6701542645421603
2023-05-04,4.75,0.030097820993626973,0.030097820993626973
2023-05-08,5.25,0.21297109057892222,0.21297109057892222
2023-05-09,3.25,-0.5185219877622588,-0.5185219877622588
2023-05-12,5.5,0.30440772537156985,0.30440772537156985
2023-05-15,2.5,-0.7928318921402016,-0.7928318921402016
2023-05-16,4.0,-0.24421208338431588,-0.24421208338431588
2023-05-17,3.25,-0.5185219877622588,-0.5185219877622588
2023-05-18,4.25,-0.15277544859166825,-0.15277544859166825
2023-05-19,4.25,-0.15277544859166825,-0.15277544859166825
2023-05-22,3.5,-0.4270853529696111,-0.4270853529696111
2023-05-23,5.5,0.30440772537156985,0.30440772537156985
2023-05-24,5.25,0.21297109057892222,0.21297109057892222
2023-05-30,20.5,5.790605812930427,5.790605812930427
2023-05-31,5.0,0.12153445578627459,0.12153445578627459
2023-06-01,3.25,-0.5185219877622588,-0.5185219877622588
2023-06-05,4.0,-0.24421208338431588,-0.24421208338431588
2023-06-06,7.25,0.9444641689201031,0.9444641689201031
2023-06-07,4.0,-0.24421208338431588,-0.24421208338431588
2023-06-08,3.75,-0.3356487181769635,-0.3356487181769635
2023-06-09,4.5,-0.06133881379902064,-0.06133881379902064
2023-06-12,3.75,-0.3356487181769635,-0.3356487181769635
