Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.8125007999999525,-0.45855926404331043,-0.45855926404331043
2024-10-15,1.125,-0.18872260869402632,-0.18872260869402632
2024-10-16,0.9375007999999525,-0.35062432559017076,-0.35062432559017076
2024-10-17,2.3125007999999525,0.8366599973943657,0.8366599973943657
2024-10-18,0.9374992000000475,-0.35062570715730096,-0.35062570715730096
2024-10-21,0.8124992000000475,-0.45856064561044063,-0.45856064561044063
2024-10-22,1.125,-0.18872260869402632,-0.18872260869402632
2024-10-23,0.9375007999999525,-0.35062432559017076,-0.35062432559017076
2024-10-24,1.0,-0.296657547147166,-0.296657547147166
2024-10-25,1.0624992000000475,-0.24269076870416126,-0.24269076870416126
2024-10-28,0.6874992000000475,-0.5664955840635802,-0.5664955840635802
2024-10-29,1.0625007999999525,-0.2426893871370311,-0.2426893871370311
2024-11-04,0.9375007999999525,-0.35062432559017076,-0.35062432559017076
2024-11-05,0.875,-0.4045924856003057,-0.4045924856003057
2024-11-06,1.625,0.24301714511853237,0.24301714511853237
2024-11-07,1.9375007999999525,0.5128551820349466,0.5128551820349466
2024-11-08,1.5,0.1350822066653927,0.1350822066653927
2024-11-11,0.75,-0.5125274240534453,-0.5125274240534453
2024-11-12,1.0,-0.296657547147166,-0.296657547147166
2024-11-15,2.5625007999999525,1.052529874300645,1.052529874300645
2024-11-18,1.1874992000000475,-0.13475583025102159,-0.13475583025102159
2024-11-19,1.25,-0.08078767024088666,-0.08078767024088666
2024-11-20,0.6875007999999525,-0.5664942024964501,-0.5664942024964501
2024-11-21,0.9374992000000475,-0.35062570715730096,-0.35062570715730096
2024-11-22,0.75,-0.5125274240534453,-0.5125274240534453
2024-11-25,1.875,0.4588870220248117,0.4588870220248117
2024-11-26,1.1874992000000475,-0.13475583025102159,-0.13475583025102159
2024-11-28,0.3124992000000475,-0.8903003994229993,-0.8903003994229993
2024-11-29,4.5625,2.779488198767315,2.779488198767315
2024-12-02,4.125,2.401715914181326,2.401715914181326
2024-12-03,1.1875,-0.1347551394674565,-0.1347551394674565
2024-12-04,0.3125,-0.8902997086394342,-0.8902997086394342
2024-12-05,3.0625,1.4842689373296385,1.4842689373296385
2024-12-09,1.9375,0.5128544912513815,0.5128544912513815
2024-12-10,1.1875,-0.1347551394674565,-0.1347551394674565
2024-12-13,0.75,-0.5125274240534453,-0.5125274240534453
2024-12-16,0.375,-0.8363322394128644,-0.8363322394128644
