"(Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,169.0,171.0,171.0,161.0,186.0,216.0
mean,2.044378698224852,1.9429824561403508,2.8128654970760234,1.046583850931677,1.5416666666666667,3.865740740740741
std,1.7462411327847158,1.7560928873787307,2.2475629885911763,1.0629429109729165,1.9427475435624717,3.9780540302207723
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,0.75,1.0,0.25,0.5,1.0
50%,1.75,1.5,2.5,0.75,1.0,3.0
68%,2.5,2.25,3.5,1.25,1.75,4.550000000000004
90%,4.25,4.0,5.75,2.25,3.0,8.375
95%,5.149999999999999,5.25,7.0,2.75,4.0,10.9375
99%,8.579999999999998,8.075000000000003,8.825000000000003,5.3500000000000085,8.437500000000036,16.312499999999993
99.7%,9.370000000000012,9.475000000000023,11.572500000000048,6.77000000000001,15.75249999999997,25.033749999999905
max,10.0,10.75,14.25,7.25,18.25,31.0
