Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.875,-0.6816766349002034,-0.6816766349002034
2024-10-15,3.0,-0.02405383598516031,-0.02405383598516031
2024-10-16,2.375,-0.38939983538240647,-0.38939983538240647
2024-10-17,4.5,0.8527765625682304,0.8527765625682304
2024-10-18,2.5,-0.3163306355029572,-0.3163306355029572
2024-10-21,1.875,-0.6816766349002034,-0.6816766349002034
2024-10-22,2.625,-0.243261435623508,-0.243261435623508
2024-10-23,2.875,-0.09712303586460953,-0.09712303586460953
2024-10-24,2.375,-0.38939983538240647,-0.38939983538240647
2024-10-25,2.375,-0.38939983538240647,-0.38939983538240647
2024-10-28,1.875,-0.6816766349002034,-0.6816766349002034
2024-10-29,3.0,-0.02405383598516031,-0.02405383598516031
2024-11-04,1.75,-0.7547458347796526,-0.7547458347796526
2024-11-05,2.375,-0.38939983538240647,-0.38939983538240647
2024-11-06,3.875,0.48743056317098427,0.48743056317098427
2024-11-07,6.0,1.7296069611216212,1.7296069611216212
2024-11-08,3.0,-0.02405383598516031,-0.02405383598516031
2024-11-11,2.125,-0.5355382351413049,-0.5355382351413049
2024-11-12,2.625,-0.243261435623508,-0.243261435623508
2024-11-15,6.75,2.1680221603983165,2.1680221603983165
2024-11-18,3.25,0.12208456377373815,0.12208456377373815
2024-11-19,3.125,0.04901536389428892,0.04901536389428892
2024-11-20,1.875,-0.6816766349002034,-0.6816766349002034
2024-11-21,2.625,-0.243261435623508,-0.243261435623508
2024-11-22,2.0,-0.6086074350207541,-0.6086074350207541
2024-11-25,5.75,1.5834685613627226,1.5834685613627226
2024-11-26,2.5,-0.3163306355029572,-0.3163306355029572
2024-11-28,1.25,-1.0470226342974496,-1.0470226342974496
2024-11-29,6.0,1.7296069611216212,1.7296069611216212
2024-12-02,6.75,2.1680221603983165,2.1680221603983165
2024-12-03,6.125,1.8026761610010704,1.8026761610010704
2024-12-04,0.875,-1.2662302339357971,-1.2662302339357971
2024-12-05,2.375,-0.38939983538240647,-0.38939983538240647
2024-12-09,3.875,0.48743056317098427,0.48743056317098427
2024-12-10,3.625,0.34129216341208585,0.34129216341208585
2024-12-13,2.875,-0.09712303586460953,-0.09712303586460953
