Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,4.25,0.04899657024434382,0.04899657024434382
2024-11-05,5.0,0.37540019260739793,0.37540019260739793
2024-11-06,6.75,1.1370086447878576,1.1370086447878576
2024-11-07,5.5,0.5930026075161007,0.5930026075161007
2024-11-08,2.75,-0.6038106744817644,-0.6038106744817644
2024-11-11,1.25,-1.2566179192078726,-1.2566179192078726
2024-11-12,3.5,-0.2774070521187103,-0.2774070521187103
2024-11-15,6.5,1.0282074373335062,1.0282074373335062
2024-11-18,3.25,-0.38620825957306165,-0.38620825957306165
2024-11-19,2.75,-0.6038106744817644,-0.6038106744817644
2024-11-20,2.75,-0.6038106744817644,-0.6038106744817644
2024-11-21,3.25,-0.38620825957306165,-0.38620825957306165
2024-11-22,1.75,-1.0390155042991698,-1.0390155042991698
2024-11-25,4.5,0.15779777769869519,0.15779777769869519
2024-11-26,2.0,-0.9302142968448185,-0.9302142968448185
2024-11-29,5.0,0.37540019260739793,0.37540019260739793
2024-12-02,5.0,0.37540019260739793,0.37540019260739793
2024-12-03,5.75,0.7018038149704521,0.7018038149704521
2024-12-04,3.5,-0.2774070521187103,-0.2774070521187103
2024-12-05,5.25,0.4842014000617493,0.4842014000617493
2024-12-09,3.25,-0.38620825957306165,-0.38620825957306165
2024-12-10,3.75,-0.16860584466435893,-0.16860584466435893
2024-12-13,2.5,-0.7126118819361158,-0.7126118819361158
2024-12-16,1.75,-1.0390155042991698,-1.0390155042991698
2024-12-17,1.75,-1.0390155042991698,-1.0390155042991698
2024-12-18,15.5,4.945050905690155,4.945050905690155
2024-12-23,4.0,-0.059804637210007554,-0.059804637210007554
2024-12-24,3.25,-0.38620825957306165,-0.38620825957306165
2024-12-26,6.0,0.8106050224248034,0.8106050224248034
2024-12-27,2.5,-0.7126118819361158,-0.7126118819361158
2024-12-30,2.25,-0.8214130893904671,-0.8214130893904671
2024-12-31,2.25,-0.8214130893904671,-0.8214130893904671
2025-01-02,4.25,0.04899657024434382,0.04899657024434382
2025-01-03,2.75,-0.6038106744817644,-0.6038106744817644
2025-01-06,2.5,-0.7126118819361158,-0.7126118819361158
2025-01-07,2.25,-0.8214130893904671,-0.8214130893904671
2025-01-08,3.0,-0.49500946702741305,-0.49500946702741305
2025-01-09,2.5,-0.7126118819361158,-0.7126118819361158
2025-01-13,3.0,-0.49500946702741305,-0.49500946702741305
2025-01-16,3.5,-0.2774070521187103,-0.2774070521187103
2025-01-17,2.75,-0.6038106744817644,-0.6038106744817644
2025-01-20,2.75,-0.6038106744817644,-0.6038106744817644
2025-01-21,2.25,-0.8214130893904671,-0.8214130893904671
2025-01-22,2.25,-0.8214130893904671,-0.8214130893904671
2025-01-23,2.5,-0.7126118819361158,-0.7126118819361158
2025-01-24,3.0,-0.49500946702741305,-0.49500946702741305
2025-01-27,3.5,-0.2774070521187103,-0.2774070521187103
2025-01-28,3.25,-0.38620825957306165,-0.38620825957306165
2025-01-29,6.0,0.8106050224248034,0.8106050224248034
2025-02-03,5.0,0.37540019260739793,0.37540019260739793
2025-02-04,3.0,-0.49500946702741305,-0.49500946702741305
2025-02-05,2.25,-0.8214130893904671,-0.8214130893904671
2025-02-06,4.25,0.04899657024434382,0.04899657024434382
2025-02-10,3.75,-0.16860584466435893,-0.16860584466435893
2025-02-11,2.0,-0.9302142968448185,-0.9302142968448185
2025-02-14,8.0,1.6810146820596144,1.6810146820596144
2025-02-17,1.25,-1.2566179192078726,-1.2566179192078726
2025-02-18,1.75,-1.0390155042991698,-1.0390155042991698
2025-02-19,2.75,-0.6038106744817644,-0.6038106744817644
