Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-23,0.875,-0.5965065852362491,-0.5965065852362491
2025-01-24,1.0,-0.5127059619296338,-0.5127059619296338
2025-01-27,1.125,-0.4289053386230185,-0.4289053386230185
2025-01-28,1.5,-0.1775034687031725,-0.1775034687031725
2025-01-29,2.0,0.1576990245232888,0.1576990245232888
2025-02-03,2.0,0.1576990245232888,0.1576990245232888
2025-02-04,1.0,-0.5127059619296338,-0.5127059619296338
2025-02-05,1.125,-0.4289053386230185,-0.4289053386230185
2025-02-06,0.625,-0.7641078318494797,-0.7641078318494797
2025-02-10,1.25,-0.34510471531640313,-0.34510471531640313
2025-02-11,0.375,-0.9317090784627104,-0.9317090784627104
2025-02-14,0.5,-0.8479084551560951,-0.8479084551560951
2025-02-18,1.25,-0.34510471531640313,-0.34510471531640313
2025-02-19,0.875,-0.5965065852362491,-0.5965065852362491
2025-02-20,0.75,-0.6803072085428644,-0.6803072085428644
2025-02-21,1.5,-0.1775034687031725,-0.1775034687031725
2025-02-24,1.0,-0.5127059619296338,-0.5127059619296338
2025-02-25,0.875,-0.5965065852362491,-0.5965065852362491
2025-02-26,3.875,1.4147083741225186,1.4147083741225186
2025-03-03,6.125,2.9231195936415943,2.9231195936415943
2025-03-04,8.125,4.26392956654744,4.26392956654744
2025-03-05,4.75,2.001312737268826,2.001312737268826
2025-03-06,3.875,1.4147083741225186,1.4147083741225186
2025-03-10,4.0,1.498508997429134,1.498508997429134
2025-03-11,1.375,-0.2613040920097878,-0.2613040920097878
2025-03-14,3.375,1.0795058808960574,1.0795058808960574
2025-03-17,1.0,-0.5127059619296338,-0.5127059619296338
2025-03-18,1.0,-0.5127059619296338,-0.5127059619296338
2025-03-19,3.625,1.247107127509288,1.247107127509288
2025-03-20,1.0,-0.5127059619296338,-0.5127059619296338
2025-03-21,0.75,-0.6803072085428644,-0.6803072085428644
2025-03-24,0.875,-0.5965065852362491,-0.5965065852362491
2025-03-25,1.125,-0.4289053386230185,-0.4289053386230185
2025-03-26,1.375,-0.2613040920097878,-0.2613040920097878
2025-03-31,2.625,0.5767021410563654,0.5767021410563654
2025-04-01,1.625,-0.09370284539655717,-0.09370284539655717
2025-04-02,10.5,5.856141409373131,5.856141409373131
2025-04-03,2.75,0.6605027643629807,0.6605027643629807
2025-04-04,3.375,1.0795058808960574,1.0795058808960574
2025-04-07,6.625,3.258322086868056,3.258322086868056
2025-04-08,5.625,2.587917100415133,2.587917100415133
2025-04-09,7.375,3.761125826707748,3.761125826707748
2025-04-14,2.25,0.32530027113651944,0.32530027113651944
2025-04-15,2.0,0.1576990245232888,0.1576990245232888
2025-04-16,2.25,0.32530027113651944,0.32530027113651944
2025-04-17,1.25,-0.34510471531640313,-0.34510471531640313
2025-04-21,1.625,-0.09370284539655717,-0.09370284539655717
2025-04-22,1.5,-0.1775034687031725,-0.1775034687031725
2025-04-23,1.625,-0.09370284539655717,-0.09370284539655717
2025-04-24,0.625,-0.7641078318494797,-0.7641078318494797
2025-04-25,2.125,0.24149964782990413,0.24149964782990413
2025-04-28,0.875,-0.5965065852362491,-0.5965065852362491
2025-04-29,0.75,-0.6803072085428644,-0.6803072085428644
2025-05-01,2.0,0.1576990245232888,0.1576990245232888
2025-05-05,0.875,-0.5965065852362491,-0.5965065852362491
2025-05-06,1.125,-0.4289053386230185,-0.4289053386230185
2025-05-07,1.5,-0.1775034687031725,-0.1775034687031725
2025-05-08,1.5,-0.1775034687031725,-0.1775034687031725
2025-05-09,1.375,-0.2613040920097878,-0.2613040920097878
2025-05-12,1.625,-0.09370284539655717,-0.09370284539655717
2025-05-14,1.0,-0.5127059619296338,-0.5127059619296338
2025-05-16,3.75,1.3309077508159033,1.3309077508159033
2025-05-19,1.875,0.07389840121667347,0.07389840121667347
2025-05-20,0.875,-0.5965065852362491,-0.5965065852362491
2025-05-21,1.875,0.07389840121667347,0.07389840121667347
2025-05-22,1.75,-0.00990222208994185,-0.00990222208994185
2025-05-23,1.125,-0.4289053386230185,-0.4289053386230185
2025-05-27,1.625,-0.09370284539655717,-0.09370284539655717
2025-05-28,2.625,0.5767021410563654,0.5767021410563654
2025-06-02,2.5,0.4929015177497501,0.4929015177497501
2025-06-03,0.75,-0.6803072085428644,-0.6803072085428644
2025-06-04,1.875,0.07389840121667347,0.07389840121667347
2025-06-05,1.125,-0.4289053386230185,-0.4289053386230185
2025-06-09,1.125,-0.4289053386230185,-0.4289053386230185
2025-06-10,1.0,-0.5127059619296338,-0.5127059619296338
2025-06-13,1.5,-0.1775034687031725,-0.1775034687031725
2025-06-16,0.625,-0.7641078318494797,-0.7641078318494797
2025-06-17,1.125,-0.4289053386230185,-0.4289053386230185
2025-06-18,2.0,0.1576990245232888,0.1576990245232888
2025-06-20,0.75,-0.6803072085428644,-0.6803072085428644
2025-06-23,2.25,0.32530027113651944,0.32530027113651944
2025-06-24,1.25,-0.34510471531640313,-0.34510471531640313
2025-06-25,1.5,-0.1775034687031725,-0.1775034687031725
2025-06-30,1.375,-0.2613040920097878,-0.2613040920097878
2025-07-01,1.375,-0.2613040920097878,-0.2613040920097878
2025-07-02,0.875,-0.5965065852362491,-0.5965065852362491
2025-07-07,1.0,-0.5127059619296338,-0.5127059619296338
2025-07-08,1.25,-0.34510471531640313,-0.34510471531640313
2025-07-09,1.125,-0.4289053386230185,-0.4289053386230185
2025-07-10,0.75,-0.6803072085428644,-0.6803072085428644
2025-07-11,1.625,-0.09370284539655717,-0.09370284539655717
2025-07-14,0.25,-1.0155097017693258,-1.0155097017693258
