Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,4.25,-0.2933370158614714,-0.2933370158614714
2022-12-21,4.0,-0.38204495680271155,-0.38204495680271155
2022-12-27,7.75,0.948574157315891,0.948574157315891
2022-12-28,5.0,-0.02721319303775087,-0.02721319303775087
2022-12-29,4.75,-0.11592113397899104,-0.11592113397899104
2022-12-30,9.25,1.480821802963332,1.480821802963332
2023-01-03,4.25,-0.2933370158614714,-0.2933370158614714
2023-01-04,4.0,-0.38204495680271155,-0.38204495680271155
2023-01-05,6.75,0.5937423935509304,0.5937423935509304
2023-01-09,7.75,0.948574157315891,0.948574157315891
2023-01-10,6.0,0.32761857072720985,0.32761857072720985
2023-01-11,4.25,-0.2933370158614714,-0.2933370158614714
2023-01-13,9.0,1.3921138620220919,1.3921138620220919
2023-01-17,5.5,0.15020268884472948,0.15020268884472948
2023-01-19,5.5,0.15020268884472948,0.15020268884472948
2023-01-20,6.0,0.32761857072720985,0.32761857072720985
2023-01-23,5.5,0.15020268884472948,0.15020268884472948
2023-01-24,3.5,-0.5594608386851919,-0.5594608386851919
2023-01-25,7.75,0.948574157315891,0.948574157315891
2023-01-30,4.25,-0.2933370158614714,-0.2933370158614714
2023-01-31,3.0,-0.7368767205676723,-0.7368767205676723
2023-02-01,16.0,3.875936208376817,3.875936208376817
2023-02-02,7.25,0.7711582754334108,0.7711582754334108
2023-02-06,4.75,-0.11592113397899104,-0.11592113397899104
2023-02-07,8.75,1.3034059210808517,1.3034059210808517
2023-02-08,3.25,-0.648168779626432,-0.648168779626432
2023-02-09,10.5,1.924361507669533,1.924361507669533
2023-02-10,5.75,0.23891062978596966,0.23891062978596966
2023-02-13,3.25,-0.648168779626432,-0.648168779626432
2023-02-15,6.5,0.5050344526096902,0.5050344526096902
2023-02-17,6.25,0.41632651166845003,0.41632651166845003
2023-02-21,5.25,0.06149474790348931,0.06149474790348931
2023-02-22,2.75,-0.8255846615089124,-0.8255846615089124
2023-02-27,10.5,1.924361507669533,1.924361507669533
2023-02-28,11.75,2.3679012123757337,2.3679012123757337
2023-03-01,11.0,2.1017773895520135,2.1017773895520135
2023-03-02,10.5,1.924361507669533,1.924361507669533
2023-03-03,8.75,1.3034059210808517,1.3034059210808517
2023-03-06,12.25,2.5453170942582144,2.5453170942582144
2023-03-07,8.0,1.0372820982571311,1.0372820982571311
2023-03-08,6.25,0.41632651166845003,0.41632651166845003
2023-03-09,10.75,2.013069448610773,2.013069448610773
2023-03-13,14.75,3.432396503670616,3.432396503670616
2023-03-16,30.0,8.843580901086268,8.843580901086268
2023-03-17,8.0,1.0372820982571311,1.0372820982571311
2023-03-20,10.25,1.8356535667282927,1.8356535667282927
2023-03-21,9.5,1.5695297439045723,1.5695297439045723
2023-03-22,11.25,2.1904853304932534,2.1904853304932534
2023-03-23,13.75,3.077564739905655,3.077564739905655
2023-03-24,7.75,0.948574157315891,0.948574157315891
2023-03-27,7.75,0.948574157315891,0.948574157315891
2023-03-28,5.5,0.15020268884472948,0.15020268884472948
2023-03-29,6.0,0.32761857072720985,0.32761857072720985
2023-04-03,4.75,-0.11592113397899104,-0.11592113397899104
2023-04-04,4.75,-0.11592113397899104,-0.11592113397899104
2023-04-05,5.75,0.23891062978596966,0.23891062978596966
2023-04-06,4.25,-0.2933370158614714,-0.2933370158614714
2023-04-10,3.5,-0.5594608386851919,-0.5594608386851919
2023-04-11,4.25,-0.2933370158614714,-0.2933370158614714
2023-04-14,5.5,0.15020268884472948,0.15020268884472948
2023-04-17,4.5,-0.20462907492023122,-0.20462907492023122
2023-04-18,5.75,0.23891062978596966,0.23891062978596966
2023-04-19,4.0,-0.38204495680271155,-0.38204495680271155
2023-04-20,3.75,-0.47075289774395174,-0.47075289774395174
2023-04-21,3.5,-0.5594608386851919,-0.5594608386851919
2023-04-24,5.0,-0.02721319303775087,-0.02721319303775087
2023-04-25,7.5,0.8598662163746509,0.8598662163746509
2023-04-26,10.25,1.8356535667282927,1.8356535667282927
2023-05-01,4.25,-0.2933370158614714,-0.2933370158614714
2023-05-02,3.5,-0.5594608386851919,-0.5594608386851919
2023-05-03,7.5,0.8598662163746509,0.8598662163746509
2023-05-04,12.5,2.6340250351994543,2.6340250351994543
2023-05-08,4.75,-0.11592113397899104,-0.11592113397899104
2023-05-09,2.75,-0.8255846615089124,-0.8255846615089124
2023-05-12,9.25,1.480821802963332,1.480821802963332
2023-05-15,2.25,-1.0030005433913929,-1.0030005433913929
2023-05-16,4.25,-0.2933370158614714,-0.2933370158614714
2023-05-17,6.75,0.5937423935509304,0.5937423935509304
2023-05-18,4.0,-0.38204495680271155,-0.38204495680271155
2023-05-19,8.25,1.1259900391983715,1.1259900391983715
2023-05-22,7.25,0.7711582754334108,0.7711582754334108
2023-05-23,6.5,0.5050344526096902,0.5050344526096902
2023-05-24,4.5,-0.20462907492023122,-0.20462907492023122
2023-05-30,3.5,-0.5594608386851919,-0.5594608386851919
2023-05-31,1.75,-1.1804164252738731,-1.1804164252738731
2023-06-01,2.5,-0.9142926024501526,-0.9142926024501526
2023-06-05,3.75,-0.47075289774395174,-0.47075289774395174
2023-06-06,4.5,-0.20462907492023122,-0.20462907492023122
2023-06-07,11.25,2.1904853304932534,2.1904853304932534
2023-06-08,4.5,-0.20462907492023122,-0.20462907492023122
2023-06-09,3.75,-0.47075289774395174,-0.47075289774395174
2023-06-12,5.0,-0.02721319303775087,-0.02721319303775087
