Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)"
count,172.0
mean,5.126453488372093
std,2.7726337433957986
min,1.0
10%,2.5
25%,3.25
50%,4.5
75%,6.25
95%,10.25
99%,15.572499999999998
max,17.25
skewness,1.699650072006929
kurtosis,4.053581556749929
