Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,3.75,-0.9106040851909755,-0.9106040851909755
2024-11-04,7.25,-0.22169536568256296,-0.22169536568256296
2024-11-05,23.25,2.927601637784466,2.927601637784466
2024-11-06,9.25,0.17196675975081563,0.17196675975081563
2024-11-07,17.25,1.74661526148433,1.74661526148433
2024-11-08,6.75,-0.3201108970409076,-0.3201108970409076
2024-11-10,3.75,-0.9106040851909755,-0.9106040851909755
2024-11-11,6.25,-0.41852642839925225,-0.41852642839925225
2024-11-12,10.0,0.31959005678833263,0.31959005678833263
2024-11-15,12.75,0.8608754792592281,0.8608754792592281
2024-11-17,3.25,-1.0090196165493202,-1.0090196165493202
2024-11-18,15.75,1.451368667409296,1.451368667409296
2024-11-19,9.75,0.2703822911091603,0.2703822911091603
2024-11-20,6.25,-0.41852642839925225,-0.41852642839925225
2024-11-21,7.0,-0.27090313136173527,-0.27090313136173527
2024-11-22,5.0,-0.6645652567951139,-0.6645652567951139
2024-11-24,4.25,-0.8121885538326309,-0.8121885538326309
2024-11-25,11.5,0.6148366508633666,0.6148366508633666
2024-11-26,10.25,0.3687978224675049,0.3687978224675049
2024-11-29,5.75,-0.5169419597575969,-0.5169419597575969
2024-12-01,6.0,-0.4677341940784246,-0.4677341940784246
2024-12-02,11.25,0.5656288851841942,0.5656288851841942
2024-12-03,12.0,0.7132521822217112,0.7132521822217112
2024-12-04,13.5,1.0084987762967452,1.0084987762967452
2024-12-05,8.25,-0.024864302965873664,-0.024864302965873664
2024-12-08,5.25,-0.6153574911159415,-0.6153574911159415
2024-12-09,8.5,0.024343462713298663,0.024343462713298663
2024-12-10,6.5,-0.36931866272007996,-0.36931866272007996
2024-12-13,8.25,-0.024864302965873664,-0.024864302965873664
2024-12-15,2.25,-1.2058506792660095,-1.2058506792660095
2024-12-16,7.0,-0.27090313136173527,-0.27090313136173527
2024-12-17,7.25,-0.22169536568256296,-0.22169536568256296
2024-12-18,19.5,2.189485152596881,2.189485152596881
2024-12-22,3.0,-1.0582273822284924,-1.0582273822284924
2024-12-23,6.75,-0.3201108970409076,-0.3201108970409076
2024-12-24,4.5,-0.7629807881534585,-0.7629807881534585
2024-12-25,3.25,-1.0090196165493202,-1.0090196165493202
2024-12-26,8.0,-0.074072068645046,-0.074072068645046
2024-12-27,5.75,-0.5169419597575969,-0.5169419597575969
2024-12-29,4.5,-0.7629807881534585,-0.7629807881534585
2024-12-30,10.25,0.3687978224675049,0.3687978224675049
2024-12-31,7.0,-0.27090313136173527,-0.27090313136173527
2025-01-01,7.25,-0.22169536568256296,-0.22169536568256296
2025-01-02,8.5,0.024343462713298663,0.024343462713298663
2025-01-03,7.25,-0.22169536568256296,-0.22169536568256296
2025-01-05,2.5,-1.1566429135868372,-1.1566429135868372
2025-01-06,7.5,-0.17248760000339064,-0.17248760000339064
2025-01-07,8.0,-0.074072068645046,-0.074072068645046
2025-01-08,7.5,-0.17248760000339064,-0.17248760000339064
