Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,3.75,0.09539840259848457,0.09539840259848457
2022-12-21,2.5,-0.39400604195879707,-0.39400604195879707
2022-12-27,2.5,-0.39400604195879707,-0.39400604195879707
2022-12-28,3.25,-0.10036337522442808,-0.10036337522442808
2022-12-29,1.5,-0.7855295976046224,-0.7855295976046224
2023-01-03,4.25,0.29116018042139724,0.29116018042139724
2023-01-04,4.0,0.19327929150994091,0.19327929150994091
2023-01-05,2.5,-0.39400604195879707,-0.39400604195879707
2023-01-08,2.75,-0.2961251530473407,-0.2961251530473407
2023-01-09,3.75,0.09539840259848457,0.09539840259848457
2023-01-10,4.25,0.29116018042139724,0.29116018042139724
2023-01-11,5.5,0.7805646249786788,0.7805646249786788
2023-01-15,3.0,-0.19824426413588442,-0.19824426413588442
2023-01-17,10.0,2.542420625384893,2.542420625384893
2023-01-19,4.25,0.29116018042139724,0.29116018042139724
2023-01-22,3.0,-0.19824426413588442,-0.19824426413588442
2023-01-23,2.0,-0.5897678197817098,-0.5897678197817098
2023-01-24,3.25,-0.10036337522442808,-0.10036337522442808
2023-01-25,1.5,-0.7855295976046224,-0.7855295976046224
2023-01-29,3.75,0.09539840259848457,0.09539840259848457
2023-01-30,2.5,-0.39400604195879707,-0.39400604195879707
2023-01-31,2.5,-0.39400604195879707,-0.39400604195879707
2023-02-01,3.0,-0.19824426413588442,-0.19824426413588442
2023-02-02,3.75,0.09539840259848457,0.09539840259848457
2023-02-05,4.25,0.29116018042139724,0.29116018042139724
2023-02-06,4.75,0.4869219582443099,0.4869219582443099
2023-02-07,4.25,0.29116018042139724,0.29116018042139724
2023-02-08,3.0,-0.19824426413588442,-0.19824426413588442
2023-02-09,2.75,-0.2961251530473407,-0.2961251530473407
2023-02-12,2.75,-0.2961251530473407,-0.2961251530473407
2023-02-13,2.25,-0.49188693087025337,-0.49188693087025337
2023-02-15,5.75,0.8784455138901353,0.8784455138901353
2023-02-19,3.25,-0.10036337522442808,-0.10036337522442808
2023-02-21,4.0,0.19327929150994091,0.19327929150994091
2023-02-22,1.5,-0.7855295976046224,-0.7855295976046224
2023-02-26,3.0,-0.19824426413588442,-0.19824426413588442
2023-02-27,9.5,2.3466588475619803,2.3466588475619803
2023-02-28,10.25,2.6403015142963495,2.6403015142963495
2023-03-01,12.0,3.3254677366765435,3.3254677366765435
2023-03-02,9.0,2.1508970697390675,2.1508970697390675
2023-03-05,10.5,2.7381824032078055,2.7381824032078055
2023-03-06,3.0,-0.19824426413588442,-0.19824426413588442
2023-03-07,5.5,0.7805646249786788,0.7805646249786788
2023-03-08,3.0,-0.19824426413588442,-0.19824426413588442
2023-03-09,12.25,3.423348625588,3.423348625588
2023-03-12,21.5,7.044941515311884,7.044941515311884
2023-03-13,6.25,1.0742072917130479,1.0742072917130479
2023-03-16,4.75,0.4869219582443099,0.4869219582443099
2023-03-19,13.75,4.0106339590567375,4.0106339590567375
2023-03-20,8.5,1.955135291916155,1.955135291916155
2023-03-21,4.25,0.29116018042139724,0.29116018042139724
2023-03-22,5.5,0.7805646249786788,0.7805646249786788
2023-03-23,9.0,2.1508970697390675,2.1508970697390675
2023-03-26,5.0,0.5848028471557662,0.5848028471557662
2023-03-27,5.0,0.5848028471557662,0.5848028471557662
2023-03-28,2.75,-0.2961251530473407,-0.2961251530473407
2023-03-29,2.75,-0.2961251530473407,-0.2961251530473407
2023-04-02,6.5,1.1720881806245043,1.1720881806245043
2023-04-03,3.75,0.09539840259848457,0.09539840259848457
2023-04-04,2.5,-0.39400604195879707,-0.39400604195879707
2023-04-05,3.0,-0.19824426413588442,-0.19824426413588442
2023-04-06,1.5,-0.7855295976046224,-0.7855295976046224
2023-04-09,2.25,-0.49188693087025337,-0.49188693087025337
2023-04-10,3.0,-0.19824426413588442,-0.19824426413588442
2023-04-11,1.25,-0.8834104865160787,-0.8834104865160787
2023-04-16,2.5,-0.39400604195879707,-0.39400604195879707
2023-04-17,2.0,-0.5897678197817098,-0.5897678197817098
2023-04-18,2.0,-0.5897678197817098,-0.5897678197817098
2023-04-19,1.75,-0.6876487086931661,-0.6876487086931661
2023-04-20,2.0,-0.5897678197817098,-0.5897678197817098
2023-04-23,1.75,-0.6876487086931661,-0.6876487086931661
2023-04-24,3.0,-0.19824426413588442,-0.19824426413588442
2023-04-25,2.75,-0.2961251530473407,-0.2961251530473407
2023-04-26,2.5,-0.39400604195879707,-0.39400604195879707
2023-04-30,3.5,-0.0024824863129717513,-0.0024824863129717513
2023-05-01,2.5,-0.39400604195879707,-0.39400604195879707
2023-05-02,1.75,-0.6876487086931661,-0.6876487086931661
2023-05-03,7.5,1.5636117362703295,1.5636117362703295
2023-05-04,2.25,-0.49188693087025337,-0.49188693087025337
2023-05-07,3.5,-0.0024824863129717513,-0.0024824863129717513
2023-05-08,2.5,-0.39400604195879707,-0.39400604195879707
2023-05-09,1.75,-0.6876487086931661,-0.6876487086931661
2023-05-14,2.0,-0.5897678197817098,-0.5897678197817098
2023-05-15,3.0,-0.19824426413588442,-0.19824426413588442
2023-05-16,2.5,-0.39400604195879707,-0.39400604195879707
2023-05-17,2.5,-0.39400604195879707,-0.39400604195879707
2023-05-18,1.75,-0.6876487086931661,-0.6876487086931661
2023-05-21,3.75,0.09539840259848457,0.09539840259848457
2023-05-22,2.0,-0.5897678197817098,-0.5897678197817098
2023-05-23,3.25,-0.10036337522442808,-0.10036337522442808
