Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,2.0,-0.4714452595850504,-0.4714452595850504
2024-10-01,2.5,-0.2919856443109057,-0.2919856443109057
2024-10-02,2.0,-0.4714452595850504,-0.4714452595850504
2024-10-03,1.25,-0.7406346824962675,-0.7406346824962675
2024-10-06,3.25,-0.02279622139968862,-0.02279622139968862
2024-10-07,3.75,0.1566633938744561,0.1566633938744561
2024-10-08,1.75,-0.5611750672221227,-0.5611750672221227
2024-10-09,1.75,-0.5611750672221227,-0.5611750672221227
2024-10-13,1.5,-0.6509048748591951,-0.6509048748591951
2024-10-14,2.75,-0.20225583667383334,-0.20225583667383334
2024-10-15,1.25,-0.7406346824962675,-0.7406346824962675
2024-10-16,2.25,-0.38171545194797807,-0.38171545194797807
2024-10-17,1.5,-0.6509048748591951,-0.6509048748591951
2024-10-20,2.0,-0.4714452595850504,-0.4714452595850504
2024-10-21,2.75,-0.20225583667383334,-0.20225583667383334
2024-10-22,3.25,-0.02279622139968862,-0.02279622139968862
2024-10-23,3.5,0.06693358623738374,0.06693358623738374
2024-10-24,2.5,-0.2919856443109057,-0.2919856443109057
2024-10-27,6.0,0.9642316626081073,0.9642316626081073
2024-10-28,2.25,-0.38171545194797807,-0.38171545194797807
2024-10-29,2.25,-0.38171545194797807,-0.38171545194797807
2024-11-03,3.75,0.1566633938744561,0.1566633938744561
2024-11-04,2.5,-0.2919856443109057,-0.2919856443109057
2024-11-05,23.25,7.1555883895661,7.1555883895661
2024-11-06,2.75,-0.20225583667383334,-0.20225583667383334
2024-11-07,3.0,-0.11252602903676098,-0.11252602903676098
2024-11-10,3.75,0.1566633938744561,0.1566633938744561
2024-11-11,2.75,-0.20225583667383334,-0.20225583667383334
2024-11-12,2.5,-0.2919856443109057,-0.2919856443109057
2024-11-17,2.5,-0.2919856443109057,-0.2919856443109057
2024-11-18,2.0,-0.4714452595850504,-0.4714452595850504
2024-11-19,2.25,-0.38171545194797807,-0.38171545194797807
2024-11-20,1.25,-0.7406346824962675,-0.7406346824962675
2024-11-21,1.75,-0.5611750672221227,-0.5611750672221227
2024-11-24,3.75,0.1566633938744561,0.1566633938744561
2024-11-25,3.5,0.06693358623738374,0.06693358623738374
2024-11-26,2.0,-0.4714452595850504,-0.4714452595850504
2024-11-28,4.25,0.3361230091486008,0.3361230091486008
2024-12-01,4.5,0.42585281678567316,0.42585281678567316
2024-12-02,5.0,0.6053124320598179,0.6053124320598179
2024-12-03,4.5,0.42585281678567316,0.42585281678567316
2024-12-04,2.5,-0.2919856443109057,-0.2919856443109057
2024-12-05,3.25,-0.02279622139968862,-0.02279622139968862
2024-12-08,4.0,0.24639320151152846,0.24639320151152846
2024-12-09,3.75,0.1566633938744561,0.1566633938744561
2024-12-10,2.25,-0.38171545194797807,-0.38171545194797807
2024-12-15,1.75,-0.5611750672221227,-0.5611750672221227
2024-12-16,1.75,-0.5611750672221227,-0.5611750672221227
2024-12-17,2.0,-0.4714452595850504,-0.4714452595850504
2024-12-18,2.5,-0.2919856443109057,-0.2919856443109057
2024-12-22,1.75,-0.5611750672221227,-0.5611750672221227
2024-12-23,1.25,-0.7406346824962675,-0.7406346824962675
2024-12-25,3.25,-0.02279622139968862,-0.02279622139968862
2024-12-26,2.0,-0.4714452595850504,-0.4714452595850504
2024-12-29,1.5,-0.6509048748591951,-0.6509048748591951
2024-12-30,2.0,-0.4714452595850504,-0.4714452595850504
2025-01-01,3.25,-0.02279622139968862,-0.02279622139968862
2025-01-02,2.0,-0.4714452595850504,-0.4714452595850504
2025-01-05,3.5,0.06693358623738374,0.06693358623738374
2025-01-06,2.75,-0.20225583667383334,-0.20225583667383334
2025-01-07,2.0,-0.4714452595850504,-0.4714452595850504
2025-01-08,3.0,-0.11252602903676098,-0.11252602903676098
2025-01-09,2.25,-0.38171545194797807,-0.38171545194797807
2025-01-12,4.25,0.3361230091486008,0.3361230091486008
2025-01-13,2.5,-0.2919856443109057,-0.2919856443109057
2025-01-16,1.5,-0.6509048748591951,-0.6509048748591951
2025-01-19,2.25,-0.38171545194797807,-0.38171545194797807
2025-01-20,6.0,0.9642316626081073,0.9642316626081073
2025-01-21,2.25,-0.38171545194797807,-0.38171545194797807
2025-01-22,1.5,-0.6509048748591951,-0.6509048748591951
2025-01-23,3.75,0.1566633938744561,0.1566633938744561
2025-01-26,4.0,0.24639320151152846,0.24639320151152846
2025-01-27,3.0,-0.11252602903676098,-0.11252602903676098
2025-01-28,2.25,-0.38171545194797807,-0.38171545194797807
2025-01-29,2.25,-0.38171545194797807,-0.38171545194797807
2025-02-02,9.5,2.2204489695271206,2.2204489695271206
