Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.9374992000000475,-0.21280605880816136,-0.21280605880816136
2024-10-15,0.6875007999999525,-0.4338843079830092,-0.4338843079830092
2024-10-16,1.0,-0.1575354353321248,-0.1575354353321248
2024-10-17,0.375,-0.7102345955436598,-0.7102345955436598
2024-10-18,0.6874992000000475,-0.4338857228927754,-0.4338857228927754
2024-10-21,1.5625007999999525,0.33989451631313977,0.33989451631313977
2024-10-22,0.6874992000000475,-0.4338857228927754,-0.4338857228927754
2024-10-23,0.625,-0.4891549314590458,-0.4891549314590458
2024-10-24,0.875,-0.26807526737443177,-0.26807526737443177
2024-10-25,0.5624992000000475,-0.5444255549350824,-0.5444255549350824
2024-10-28,1.1874992000000475,0.00827360527645263,0.00827360527645263
2024-10-29,1.0625007999999525,-0.10226481185608823,-0.10226481185608823
2024-11-04,0.875,-0.26807526737443177,-0.26807526737443177
2024-11-05,0.8124992000000475,-0.3233458908504684,-0.3233458908504684
2024-11-06,2.0,0.7267832210063312,0.7267832210063312
2024-11-07,1.25,0.0635442287524892,0.0635442287524892
2024-11-08,1.125,-0.0469956032898178,-0.0469956032898178
2024-11-11,0.75,-0.3786150994167388,-0.3786150994167388
2024-11-12,1.375,0.17408406079479619,0.17408406079479619
2024-11-15,1.375,0.17408406079479619,0.17408406079479619
2024-11-18,0.875,-0.26807526737443177,-0.26807526737443177
2024-11-19,2.125,0.8373230530486382,0.8373230530486382
2024-11-20,0.8124992000000475,-0.3233458908504684,-0.3233458908504684
2024-11-21,1.0625007999999525,-0.10226481185608823,-0.10226481185608823
2024-11-22,1.0,-0.1575354353321248,-0.1575354353321248
2024-11-25,0.875,-0.26807526737443177,-0.26807526737443177
2024-11-26,0.75,-0.3786150994167388,-0.3786150994167388
2024-11-28,0.3124992000000475,-0.7655052190196964,-0.7655052190196964
2024-11-29,0.5,-0.5996947635013528,-0.5996947635013528
2024-12-02,3.75,2.274340869598629,2.274340869598629
2024-12-03,0.625,-0.4891549314590458,-0.4891549314590458
2024-12-04,0.8125,-0.3233451833955853,-0.3233451833955853
2024-12-05,2.9375,1.5558319613236338,1.5558319613236338
2024-12-09,0.5625,-0.5444248474801993,-0.5444248474801993
2024-12-10,1.0,-0.1575354353321248,-0.1575354353321248
2024-12-13,0.875,-0.26807526737443177,-0.26807526737443177
2024-12-16,0.875,-0.26807526737443177,-0.26807526737443177
2024-12-17,1.9375,0.6715133049851777,0.6715133049851777
2024-12-18,0.75,-0.3786150994167388,-0.3786150994167388
2024-12-23,0.4375,-0.6549646795225063,-0.6549646795225063
2024-12-26,0.4375,-0.6549646795225063,-0.6549646795225063
2024-12-27,0.5625,-0.5444248474801993,-0.5444248474801993
2024-12-30,0.75,-0.3786150994167388,-0.3786150994167388
2024-12-31,0.5,-0.5996947635013528,-0.5996947635013528
2025-01-02,1.5,0.2846238928371032,0.2846238928371032
2025-01-03,0.625,-0.4891549314590458,-0.4891549314590458
2025-01-06,1.375,0.17408406079479619,0.17408406079479619
2025-01-07,0.68896484375,-0.4325896267811465,-0.4325896267811465
2025-01-08,1.125,-0.0469956032898178,-0.0469956032898178
