Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,1.75,-0.4438982032480761,-0.4438982032480761
2022-12-21,2.0,-0.3174546824182146,-0.3174546824182146
2022-12-27,2.5,-0.06456764075849167,-0.06456764075849167
2022-12-28,2.0,-0.3174546824182146,-0.3174546824182146
2022-12-29,2.75,0.061875880071369814,0.061875880071369814
2022-12-30,2.5,-0.06456764075849167,-0.06456764075849167
2023-01-03,5.75,1.5791981300297075,1.5791981300297075
2023-01-04,4.0,0.6940934842206772,0.6940934842206772
2023-01-05,2.5,-0.06456764075849167,-0.06456764075849167
2023-01-09,3.0,0.18831940090123128,0.18831940090123128
2023-01-10,2.5,-0.06456764075849167,-0.06456764075849167
2023-01-11,3.75,0.5676499633908157,0.5676499633908157
2023-01-13,2.25,-0.19101116158835316,-0.19101116158835316
2023-01-17,2.0,-0.3174546824182146,-0.3174546824182146
2023-01-19,2.25,-0.19101116158835316,-0.19101116158835316
2023-01-20,1.75,-0.4438982032480761,-0.4438982032480761
2023-01-23,1.5,-0.5703417240779376,-0.5703417240779376
2023-01-24,1.75,-0.4438982032480761,-0.4438982032480761
2023-01-25,2.75,0.061875880071369814,0.061875880071369814
2023-01-30,2.25,-0.19101116158835316,-0.19101116158835316
2023-01-31,5.0,1.1998675675401231,1.1998675675401231
2023-02-01,4.5,0.9469805258804002,0.9469805258804002
2023-02-02,2.75,0.061875880071369814,0.061875880071369814
2023-02-06,3.5,0.44120644256095426,0.44120644256095426
2023-02-07,2.0,-0.3174546824182146,-0.3174546824182146
2023-02-08,4.0,0.6940934842206772,0.6940934842206772
2023-02-09,3.25,0.31476292173109277,0.31476292173109277
2023-02-10,1.0,-0.8232287657376606,-0.8232287657376606
2023-02-13,2.25,-0.19101116158835316,-0.19101116158835316
2023-02-15,2.5,-0.06456764075849167,-0.06456764075849167
2023-02-17,1.5,-0.5703417240779376,-0.5703417240779376
2023-02-21,2.0,-0.3174546824182146,-0.3174546824182146
2023-02-22,2.25,-0.19101116158835316,-0.19101116158835316
2023-02-27,9.25,3.3494074216477685,3.3494074216477685
2023-02-28,10.75,4.108068546626938,4.108068546626938
2023-03-01,9.25,3.3494074216477685,3.3494074216477685
2023-03-02,8.5,2.9700768591581843,2.9700768591581843
2023-03-03,7.75,2.5907462966685997,2.5907462966685997
2023-03-06,9.25,3.3494074216477685,3.3494074216477685
2023-03-07,2.0,-0.3174546824182146,-0.3174546824182146
2023-03-08,2.75,0.061875880071369814,0.061875880071369814
2023-03-09,4.5,0.9469805258804002,0.9469805258804002
2023-03-13,8.25,2.8436333383283228,2.8436333383283228
2023-03-16,5.0,1.1998675675401231,1.1998675675401231
2023-03-17,7.0,2.2114157341790155,2.2114157341790155
2023-03-20,4.75,1.0734240467102616,1.0734240467102616
2023-03-21,2.75,0.061875880071369814,0.061875880071369814
2023-03-22,11.0,4.234512067456799,4.234512067456799
2023-03-23,8.0,2.7171898174984612,2.7171898174984612
2023-03-24,2.5,-0.06456764075849167,-0.06456764075849167
2023-03-27,2.5,-0.06456764075849167,-0.06456764075849167
2023-03-28,4.75,1.0734240467102616,1.0734240467102616
2023-03-29,2.0,-0.3174546824182146,-0.3174546824182146
2023-04-03,1.75,-0.4438982032480761,-0.4438982032480761
2023-04-04,2.25,-0.19101116158835316,-0.19101116158835316
2023-04-05,3.75,0.5676499633908157,0.5676499633908157
2023-04-06,2.25,-0.19101116158835316,-0.19101116158835316
2023-04-10,1.0,-0.8232287657376606,-0.8232287657376606
2023-04-11,1.75,-0.4438982032480761,-0.4438982032480761
2023-04-14,2.0,-0.3174546824182146,-0.3174546824182146
2023-04-17,2.25,-0.19101116158835316,-0.19101116158835316
2023-04-18,1.5,-0.5703417240779376,-0.5703417240779376
2023-04-19,2.5,-0.06456764075849167,-0.06456764075849167
2023-04-20,1.0,-0.8232287657376606,-0.8232287657376606
2023-04-21,1.25,-0.6967852449077991,-0.6967852449077991
2023-04-24,3.75,0.5676499633908157,0.5676499633908157
2023-04-25,3.5,0.44120644256095426,0.44120644256095426
2023-04-26,3.75,0.5676499633908157,0.5676499633908157
2023-05-01,4.0,0.6940934842206772,0.6940934842206772
2023-05-02,2.0,-0.3174546824182146,-0.3174546824182146
2023-05-03,11.5,4.487399109116522,4.487399109116522
2023-05-04,5.25,1.3263110883699847,1.3263110883699847
2023-05-08,2.0,-0.3174546824182146,-0.3174546824182146
2023-05-09,2.0,-0.3174546824182146,-0.3174546824182146
2023-05-12,1.2540283203122726,-0.6947478248945423,-0.6947478248945423
2023-05-15,1.75,-0.4438982032480761,-0.4438982032480761
2023-05-16,2.75,0.061875880071369814,0.061875880071369814
2023-05-17,1.75,-0.4438982032480761,-0.4438982032480761
2023-05-18,2.25,-0.19101116158835316,-0.19101116158835316
2023-05-19,3.25,0.31476292173109277,0.31476292173109277
2023-05-22,1.5,-0.5703417240779376,-0.5703417240779376
2023-05-23,2.25,-0.19101116158835316,-0.19101116158835316
2023-05-24,4.0,0.6940934842206772,0.6940934842206772
2023-05-30,2.75,0.061875880071369814,0.061875880071369814
2023-05-31,4.25,0.8205370050505387,0.8205370050505387
2023-06-01,1.75,-0.4438982032480761,-0.4438982032480761
2023-06-05,1.75,-0.4438982032480761,-0.4438982032480761
2023-06-06,4.5,0.9469805258804002,0.9469805258804002
2023-06-07,2.75,0.061875880071369814,0.061875880071369814
2023-06-08,2.25,-0.19101116158835316,-0.19101116158835316
2023-06-09,1.75,-0.4438982032480761,-0.4438982032480761
2023-06-12,3.5,0.44120644256095426,0.44120644256095426
2023-06-15,2.0,-0.3174546824182146,-0.3174546824182146
2023-06-16,2.0,-0.3174546824182146,-0.3174546824182146
2023-06-20,2.5,-0.06456764075849167,-0.06456764075849167
2023-06-21,2.0,-0.3174546824182146,-0.3174546824182146
2023-06-22,1.5,-0.5703417240779376,-0.5703417240779376
2023-06-23,1.25,-0.6967852449077991,-0.6967852449077991
2023-06-26,1.5,-0.5703417240779376,-0.5703417240779376
2023-06-27,1.5,-0.5703417240779376,-0.5703417240779376
2023-06-28,1.25,-0.6967852449077991,-0.6967852449077991
2023-07-05,2.25,-0.19101116158835316,-0.19101116158835316
2023-07-06,3.25,0.31476292173109277,0.31476292173109277
2023-07-10,1.75,-0.4438982032480761,-0.4438982032480761
2023-07-11,1.75,-0.4438982032480761,-0.4438982032480761
2023-07-14,2.25,-0.19101116158835316,-0.19101116158835316
2023-07-17,2.0,-0.3174546824182146,-0.3174546824182146
2023-07-18,2.0,-0.3174546824182146,-0.3174546824182146
2023-07-19,1.75,-0.4438982032480761,-0.4438982032480761
2023-07-20,2.25,-0.19101116158835316,-0.19101116158835316
2023-07-21,1.25,-0.6967852449077991,-0.6967852449077991
2023-07-24,3.5,0.44120644256095426,0.44120644256095426
2023-07-25,4.75,1.0734240467102616,1.0734240467102616
2023-07-26,4.0,0.6940934842206772,0.6940934842206772
2023-07-31,3.0,0.18831940090123128,0.18831940090123128
2023-08-01,3.5,0.44120644256095426,0.44120644256095426
2023-08-02,2.25,-0.19101116158835316,-0.19101116158835316
2023-08-03,2.25,-0.19101116158835316,-0.19101116158835316
2023-08-07,3.5,0.44120644256095426,0.44120644256095426
2023-08-08,1.5,-0.5703417240779376,-0.5703417240779376
2023-08-09,2.0,-0.3174546824182146,-0.3174546824182146
2023-08-14,2.75,0.061875880071369814,0.061875880071369814
2023-08-15,1.75,-0.4438982032480761,-0.4438982032480761
2023-08-16,2.75,0.061875880071369814,0.061875880071369814
2023-08-17,3.5,0.44120644256095426,0.44120644256095426
2023-08-18,2.0,-0.3174546824182146,-0.3174546824182146
2023-08-21,1.5,-0.5703417240779376,-0.5703417240779376
2023-08-22,1.25,-0.6967852449077991,-0.6967852449077991
2023-08-23,2.0,-0.3174546824182146,-0.3174546824182146
2023-08-24,2.25,-0.19101116158835316,-0.19101116158835316
