Volatility of Returns Statistic,"(Session:All day, Interval:15m, Symbol:ZN)"
count,193.0
mean,8.36401050943167
std,5.066283703887187
min,0.0
10%,3.3000000000000007
25%,5.25
50%,7.5
75%,10.25
95%,17.25
99%,26.289999999999893
max,38.25
skewness,2.1802205357277162
kurtosis,8.6067183893851
