Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.9966514891295577,-0.9966514891295577
2024-10-14,1.625,-0.4068178651589328,-0.4068178651589328
2024-10-15,1.375,-0.5378920038190717,-0.5378920038190717
2024-10-16,1.0625007999999525,-0.7017342577070265,-0.7017342577070265
2024-10-17,2.3125007999999525,-0.04636356440633215,-0.04636356440633215
2024-10-18,1.3124992000000475,-0.5706609579213252,-0.5706609579213252
2024-10-20,0.375,-1.0621885584596271,-1.0621885584596271
2024-10-21,3.125,0.37962696680190033,0.37962696680190033
2024-10-22,1.5624992000000475,-0.43958681926118637,-0.43958681926118637
2024-10-23,1.3125007999999525,-0.5706601190468876,-0.5706601190468876
2024-10-24,1.4375007999999525,-0.5051230497168182,-0.5051230497168182
2024-10-25,2.625,0.11747868948162261,0.11747868948162261
2024-10-27,1.0,-0.73450321180928,-0.73450321180928
2024-10-28,1.875,-0.275743726498794,-0.275743726498794
2024-10-29,2.5,0.05194162015155319,0.05194162015155319
2024-11-03,1.1874992000000475,-0.6361980272513946,-0.6361980272513946
2024-11-04,1.8124992000000475,-0.3085126806010475,-0.3085126806010475
2024-11-05,4.6874992000000475,1.1988399139905495,1.1988399139905495
2024-11-06,2.25,-0.07913251850858567,-0.07913251850858567
2024-11-07,2.375,-0.013595449178516246,-0.013595449178516246
2024-11-08,2.75,0.18301575881169205,0.18301575881169205
2024-11-10,0.75,-0.8655773504694189,-0.8655773504694189
2024-11-11,1.375,-0.5378920038190717,-0.5378920038190717
2024-11-12,2.25,-0.07913251850858567,-0.07913251850858567
2024-11-15,3.125,0.37962696680190033,0.37962696680190033
2024-11-17,0.8124992000000475,-0.8328092352416029,-0.8328092352416029
2024-11-18,1.6874992000000475,-0.3740497499311169,-0.3740497499311169
2024-11-19,2.3125007999999525,-0.04636356440633215,-0.04636356440633215
2024-11-20,1.25,-0.6034290731491411,-0.6034290731491411
2024-11-21,2.0,-0.21020665716872453,-0.21020665716872453
2024-11-22,1.875,-0.275743726498794,-0.275743726498794
2024-11-24,0.875,-0.8000402811393494,-0.8000402811393494
2024-11-25,2.6874992000000475,0.15024680470943852,0.15024680470943852
2024-11-26,1.75,-0.3412807958288634,-0.3412807958288634
2024-11-28,0.875,-0.8000402811393494,-0.8000402811393494
2024-11-29,4.6875,1.1988403334277682,1.1988403334277682
2024-12-01,3.875,0.772849382782317,0.772849382782317
2024-12-02,4.75,1.231608868092803,1.231608868092803
2024-12-03,1.5625,-0.4395863998239675,-0.4395863998239675
2024-12-04,2.75,0.18301575881169205,0.18301575881169205
2024-12-05,3.375,0.5107011054620392,0.5107011054620392
2024-12-09,2.5,0.05194162015155319,0.05194162015155319
2024-12-10,2.1875,-0.1119010531736204,-0.1119010531736204
2024-12-13,2.125,-0.1446695878386551,-0.1446695878386551
2024-12-15,0.4375,-1.0294200237945923,-1.0294200237945923
2024-12-16,1.4375,-0.5051234691540369,-0.5051234691540369
2024-12-17,2.0,-0.21020665716872453,-0.21020665716872453
2024-12-18,5.3125,1.5265256800781153,1.5265256800781153
2024-12-22,0.4375,-1.0294200237945923,-1.0294200237945923
2024-12-23,1.1875,-0.6361976078141758,-0.6361976078141758
2024-12-24,1.0,-0.73450321180928,-0.73450321180928
2024-12-25,0.75,-0.8655773504694189,-0.8655773504694189
2024-12-26,1.375,-0.5378920038190717,-0.5378920038190717
2024-12-27,1.1875,-0.6361976078141758,-0.6361976078141758
2024-12-29,0.375,-1.0621885584596271,-1.0621885584596271
2024-12-30,2.625,0.11747868948162261,0.11747868948162261
2024-12-31,1.5,-0.47235493448900223,-0.47235493448900223
2025-01-01,0.8125,-0.8328088158043842,-0.8328088158043842
2025-01-02,2.0,-0.21020665716872453,-0.21020665716872453
2025-01-03,1.75,-0.3412807958288634,-0.3412807958288634
2025-01-05,0.5625,-0.963882954464523,-0.963882954464523
2025-01-06,1.5,-0.47235493448900223,-0.47235493448900223
2025-01-07,1.75,-0.3412807958288634,-0.3412807958288634
2025-01-08,1.6875,-0.3740493304938981,-0.3740493304938981
2025-01-09,1.125,-0.6689661424792105,-0.6689661424792105
2025-01-12,1.0,-0.73450321180928,-0.73450321180928
2025-01-13,1.75,-0.3412807958288634,-0.3412807958288634
2025-01-16,2.8125,0.21578429347672676,0.21578429347672676
2025-01-17,2.0625,-0.17743812250368982,-0.17743812250368982
2025-01-19,0.6875,-0.8983458851344536,-0.8983458851344536
2025-01-20,2.375,-0.013595449178516246,-0.013595449178516246
2025-01-21,1.9375,-0.24297519183375924,-0.24297519183375924
2025-01-22,1.375,-0.5378920038190717,-0.5378920038190717
2025-01-23,1.6875,-0.3740493304938981,-0.3740493304938981
2025-01-24,1.3125,-0.5706605384841064,-0.5706605384841064
2025-01-26,0.6875,-0.8983458851344536,-0.8983458851344536
2025-01-27,2.625,0.11747868948162261,0.11747868948162261
2025-01-28,1.4375,-0.5051234691540369,-0.5051234691540369
2025-01-29,2.3125,-0.04636398384355096,-0.04636398384355096
2025-02-02,1.5625,-0.4395863998239675,-0.4395863998239675
2025-02-03,1.75,-0.3412807958288634,-0.3412807958288634
2025-02-04,1.9375,-0.24297519183375924,-0.24297519183375924
2025-02-05,1.6875,-0.3740493304938981,-0.3740493304938981
2025-02-06,0.875,-0.8000402811393494,-0.8000402811393494
2025-02-09,0.5625,-0.963882954464523,-0.963882954464523
2025-02-10,1.375,-0.5378920038190717,-0.5378920038190717
2025-02-11,0.9375,-0.7672717464743147,-0.7672717464743147
