Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,7.5,-0.28317131189641087,-0.28317131189641087
2022-12-21,11.0,0.3932414911883894,0.3932414911883894
2022-12-27,12.75,0.7314478927307896,0.7314478927307896
2022-12-28,9.0,0.006719889425646398,0.006719889425646398
2022-12-29,6.5,-0.47643211277778236,-0.47643211277778236
2022-12-30,9.25,0.05503508964598928,0.05503508964598928
2023-01-03,9.25,0.05503508964598928,0.05503508964598928
2023-01-04,7.0,-0.37980171233709664,-0.37980171233709664
2023-01-05,10.25,0.24829589052736079,0.24829589052736079
2023-01-08,2.75,-1.2011601160829255,-1.2011601160829255
2023-01-09,11.25,0.44155669140873227,0.44155669140873227
2023-01-10,11.5,0.4898718916290752,0.4898718916290752
2023-01-11,8.5,-0.08991051101503936,-0.08991051101503936
2023-01-13,11.75,0.538187091849418,0.538187091849418
2023-01-15,3.0,-1.1528449158625826,-1.1528449158625826
2023-01-17,13.25,0.8280782931714753,0.8280782931714753
2023-01-19,13.5,0.8763934933918182,0.8763934933918182
2023-01-20,11.0,0.3932414911883894,0.3932414911883894
2023-01-22,3.0,-1.1528449158625826,-1.1528449158625826
2023-01-23,10.0,0.1999806903070179,0.1999806903070179
2023-01-24,11.25,0.44155669140873227,0.44155669140873227
2023-01-25,7.75,-0.23485611167606799,-0.23485611167606799
2023-01-29,3.75,-1.007899315201554,-1.007899315201554
2023-01-30,9.75,0.15166549008667504,0.15166549008667504
2023-01-31,7.75,-0.23485611167606799,-0.23485611167606799
2023-02-01,16.5,1.4561758960359328,1.4561758960359328
2023-02-02,11.0,0.3932414911883894,0.3932414911883894
2023-02-05,4.25,-0.9112689147608682,-0.9112689147608682
2023-02-06,16.0,1.3595454955952468,1.3595454955952468
2023-02-07,11.25,0.44155669140873227,0.44155669140873227
2023-02-08,6.5,-0.47643211277778236,-0.47643211277778236
2023-02-09,13.0,0.7797630929511324,0.7797630929511324
2023-02-10,9.5,0.10335028986633216,0.10335028986633216
2023-02-12,2.75,-1.2011601160829255,-1.2011601160829255
2023-02-13,6.25,-0.5247473129981253,-0.5247473129981253
2023-02-15,10.25,0.24829589052736079,0.24829589052736079
2023-02-17,13.0,0.7797630929511324,0.7797630929511324
2023-02-19,3.25,-1.1045297156422398,-1.1045297156422398
2023-02-21,14.25,1.0213390940528468,1.0213390940528468
2023-02-22,7.5,-0.28317131189641087,-0.28317131189641087
2023-02-26,3.0,-1.1528449158625826,-1.1528449158625826
2023-02-27,17.25,1.6011214966969614,1.6011214966969614
2023-02-28,15.75,1.311230295374904,1.311230295374904
2023-03-01,20.75,2.277534299781762,2.277534299781762
2023-03-02,15.5,1.2629150951545611,1.2629150951545611
2023-03-03,15.5,1.2629150951545611,1.2629150951545611
2023-03-05,10.5,0.29661109074770364,0.29661109074770364
2023-03-06,15.75,1.311230295374904,1.311230295374904
2023-03-07,12.25,0.6348174922901038,0.6348174922901038
2023-03-08,12.25,0.6348174922901038,0.6348174922901038
2023-03-09,27.25,3.5337295055106765,3.5337295055106765
2023-03-12,21.5,2.42247990044279,2.42247990044279
2023-03-13,36.0,5.224761513222678,5.224761513222678
2023-03-16,31.75,4.403403109476849,4.403403109476849
2023-03-17,27.75,3.6303599059513627,3.6303599059513627
2023-03-19,13.75,0.924708693612161,0.924708693612161
2023-03-20,31.25,4.306772709036163,4.306772709036163
2023-03-21,22.25,2.567425501103819,2.567425501103819
2023-03-22,28.75,3.823620706832734,3.823620706832734
2023-03-23,19.5,2.0359582986800473,2.0359582986800473
2023-03-24,18.0,1.74606709735799,1.74606709735799
2023-03-26,5.0,-0.7663233140998397,-0.7663233140998397
2023-03-27,20.5,2.2292190995614187,2.2292190995614187
2023-03-28,11.25,0.44155669140873227,0.44155669140873227
2023-03-29,10.5,0.29661109074770364,0.29661109074770364
2023-04-02,6.5,-0.47643211277778236,-0.47643211277778236
2023-04-03,17.75,1.697751897137647,1.697751897137647
2023-04-04,19.25,1.9876430984597044,1.9876430984597044
2023-04-05,14.75,1.1179694944935326,1.1179694944935326
2023-04-06,9.0,0.006719889425646398,0.006719889425646398
2023-04-09,2.25,-1.2977905165236112,-1.2977905165236112
2023-04-10,9.75,0.15166549008667504,0.15166549008667504
2023-04-11,9.0,0.006719889425646398,0.006719889425646398
2023-04-14,16.0,1.3595454955952468,1.3595454955952468
2023-04-16,2.5,-1.2494753163032684,-1.2494753163032684
2023-04-17,11.5,0.4898718916290752,0.4898718916290752
2023-04-18,6.75,-0.4281169125574395,-0.4281169125574395
2023-04-19,8.0,-0.1865409114557251,-0.1865409114557251
2023-04-20,9.0,0.006719889425646398,0.006719889425646398
2023-04-21,9.25,0.05503508964598928,0.05503508964598928
2023-04-23,1.75,-1.394420916964297,-1.394420916964297
2023-04-24,11.25,0.44155669140873227,0.44155669140873227
2023-04-25,12.5,0.6831326925104467,0.6831326925104467
2023-04-26,10.25,0.24829589052736079,0.24829589052736079
2023-04-30,3.5,-1.056214515421897,-1.056214515421897
2023-05-01,15.25,1.2145998949342183,1.2145998949342183
2023-05-02,19.5,2.0359582986800473,2.0359582986800473
2023-05-03,20.0,2.132588699120733,2.132588699120733
2023-05-04,16.5,1.4561758960359328,1.4561758960359328
2023-05-07,3.5,-1.056214515421897,-1.056214515421897
2023-05-08,11.0,0.3932414911883894,0.3932414911883894
2023-05-09,6.5,-0.47643211277778236,-0.47643211277778236
2023-05-12,13.004028320312273,0.7805416093608889,0.7805416093608889
2023-05-14,2.0,-1.346105716743954,-1.346105716743954
2023-05-15,5.25,-0.7180081138794968,-0.7180081138794968
2023-05-16,13.75,0.924708693612161,0.924708693612161
2023-05-17,9.75,0.15166549008667504,0.15166549008667504
2023-05-18,13.0,0.7797630929511324,0.7797630929511324
2023-05-19,12.25,0.6348174922901038,0.6348174922901038
2023-05-21,3.75,-1.007899315201554,-1.007899315201554
2023-05-22,9.75,0.15166549008667504,0.15166549008667504
2023-05-23,9.75,0.15166549008667504,0.15166549008667504
2023-05-24,11.0,0.3932414911883894,0.3932414911883894
2023-05-28,4.75,-0.8146385143201825,-0.8146385143201825
2023-05-30,26.0,3.2921535044089625,3.2921535044089625
2023-05-31,7.75,-0.23485611167606799,-0.23485611167606799
2023-06-01,13.0,0.7797630929511324,0.7797630929511324
2023-06-04,3.5,-1.056214515421897,-1.056214515421897
2023-06-05,11.0,0.3932414911883894,0.3932414911883894
2023-06-06,10.0,0.1999806903070179,0.1999806903070179
2023-06-07,16.5,1.4561758960359328,1.4561758960359328
2023-06-08,13.5,0.8763934933918182,0.8763934933918182
2023-06-09,8.25,-0.13822571123538224,-0.13822571123538224
2023-06-11,3.25,-1.1045297156422398,-1.1045297156422398
2023-06-12,9.5,0.10335028986633216,0.10335028986633216
2023-06-15,17.0,1.5528062964766185,1.5528062964766185
2023-06-16,11.25,0.44155669140873227,0.44155669140873227
2023-06-18,2.0,-1.346105716743954,-1.346105716743954
2023-06-20,10.75,0.34492629096804656,0.34492629096804656
2023-06-21,9.0,0.006719889425646398,0.006719889425646398
2023-06-22,11.75,0.538187091849418,0.538187091849418
2023-06-23,12.75,0.7314478927307896,0.7314478927307896
2023-06-25,2.25,-1.2977905165236112,-1.2977905165236112
2023-06-26,6.75,-0.4281169125574395,-0.4281169125574395
2023-06-27,10.25,0.24829589052736079,0.24829589052736079
2023-06-28,7.5,-0.28317131189641087,-0.28317131189641087
2023-07-02,2.5,-1.2494753163032684,-1.2494753163032684
2023-07-03,10.0,0.1999806903070179,0.1999806903070179
2023-07-05,15.0,1.1662846947138754,1.1662846947138754
2023-07-06,16.25,1.40786069581559,1.40786069581559
2023-07-09,3.0,-1.1528449158625826,-1.1528449158625826
2023-07-10,13.5,0.8763934933918182,0.8763934933918182
2023-07-11,6.0,-0.5730625132184681,-0.5730625132184681
2023-07-14,9.5,0.10335028986633216,0.10335028986633216
2023-07-16,3.0,-1.1528449158625826,-1.1528449158625826
