Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2000-09-20,5.2501220703125,-0.8693266983555378,-0.8693266983555378
2000-09-21,0.7498779296877274,-1.6443564678116835,-1.6443564678116835
2000-09-24,0.5,-1.6873903184621,-1.6873903184621
2000-09-25,1.500732421875,-1.5150446869858942,-1.5150446869858942
2000-09-26,0.748779296875,-1.6445456737989494,-1.6445456737989494
2000-09-27,2.0,-1.429061077235018,-1.429061077235018
2000-09-28,1.0,-1.601280571386406,-1.601280571386406
2000-10-01,0.499267578125,-1.687516455786918,-1.687516455786918
2000-10-02,2.5,-1.342951330159324,-1.342951330159324
2000-10-03,0.7501220703122726,-1.6443144220368227,-1.6443144220368227
2000-10-04,0.7496337890625,-1.644398513586662,-1.644398513586662
2000-10-05,1.75048828125,-1.4720318592229866,-1.4720318592229866
2000-10-08,1.75048828125,-1.4720318592229866,-1.4720318592229866
2000-10-09,3.0,-1.2568415830836301,-1.2568415830836301
2000-10-10,1.500732421875,-1.5150446869858942,-1.5150446869858942
2000-10-11,12.251220703125,0.33639896669140446,0.33639896669140446
2000-10-12,6.748779296875,-0.6112287088906221,-0.6112287088906221
2000-10-15,4.24951171875,-1.0416513069442739,-1.0416513069442739
2000-10-16,9.748779296875,-0.09457022643645836,-0.09457022643645836
2000-10-17,15.2496337890625,0.8527841516084627,0.8527841516084627
2000-10-18,9.0,-0.22352461817530278,-0.22352461817530278
2000-10-19,5.7503662109375,-0.7831749055049045,-0.7831749055049045
2000-10-22,5.75048828125,-0.7831538826174349,-0.7831538826174349
2000-10-23,8.0,-0.3957441123266907,-0.3957441123266907
2000-10-24,11.2496337890625,0.16390617500291105,0.16390617500291105
2000-10-25,8.499267578125,-0.30976050257581467,-0.30976050257581467
2000-10-26,8.7503662109375,-0.2665164230507408,-0.2665164230507408
2000-10-29,6.7503662109375,-0.6109554113535166,-0.6109554113535166
2000-10-30,8.2496337890625,-0.3527523074512527,-0.3527523074512527
2000-10-31,3.7503662109375,-1.1276138938076803,-1.1276138938076803
2000-11-01,3.0,-1.2568415830836301,-1.2568415830836301
2000-11-02,12.2496337890625,0.336125669154299,0.336125669154299
2000-11-05,7.2496337890625,-0.5249718016026406,-0.5249718016026406
2000-11-06,5.499511718750227,-0.8263769392549999,-0.8263769392549999
2000-11-07,14.2503662109375,0.6806907947818926,0.6806907947818926
2000-11-08,9.4991455078125,-0.1375620313118964,-0.1375620313118964
2000-11-09,4.7503662109375,-0.9553943996562925,-0.9553943996562925
2000-11-12,4.251220703125,-1.0413569865196988,-1.0413569865196988
2000-11-13,6.500732421875,-0.6539472162289547,-0.6539472162289547
2000-11-14,6.0,-0.7401831006294665,-0.7401831006294665
2000-11-15,4.2496337890625,-1.0416302840568044,-1.0416302840568044
2000-11-16,5.0,-0.9124025947808544,-0.9124025947808544
2000-11-19,4.24951171875,-1.0416513069442739,-1.0416513069442739
2000-11-20,4.0,-1.0846220889322424,-1.0846220889322424
2000-11-21,7.24951171875,-0.5249928244901102,-0.5249928244901102
2000-11-23,2.7503662109375,-1.2998333879590682,-1.2998333879590682
2000-11-26,4.2496337890625,-1.0416302840568044,-1.0416302840568044
2000-11-27,7.0,-0.5679636064780786,-0.5679636064780786
2000-11-28,8.748779296875,-0.2667897205878463,-0.2667897205878463
2000-11-29,9.7503662109375,-0.0942969288993529,-0.0942969288993529
2000-11-30,6.0,-0.7401831006294665,-0.7401831006294665
2000-12-03,8.251220703125,-0.3524790099141472,-0.3524790099141472
2000-12-04,11.251220703125,0.16417947254001652,0.16417947254001652
2000-12-05,12.499267578125,0.379117474029737,0.379117474029737
2000-12-06,7.500732421875,-0.48172772207756676,-0.48172772207756676
2000-12-07,7.7503662109375,-0.43873591720212873,-0.43873591720212873
2000-12-10,3.4991455078125,-1.170878996220224,-1.170878996220224
2000-12-11,5.2496337890625,-0.8694107899054164,-0.8694107899054164
2000-12-12,11.0,0.12091437012747304,0.12091437012747304
2000-12-13,4.4991455078125,-0.9986595020688359,-0.9986595020688359
2000-12-14,5.748779296875,-0.78344820304201,-0.78344820304201
2000-12-17,3.748779296875,-1.1278871913447859,-1.1278871913447859
2000-12-18,1.0,-1.601280571386406,-1.601280571386406
2000-12-19,13.0,0.46535335843024883,0.46535335843024883
2000-12-20,10.2496337890625,-0.00831331914847685,-0.00831331914847685
2000-12-21,8.0,-0.3957441123266907,-0.3957441123266907
2000-12-25,6.24951171875,-0.6972123186414981,-0.6972123186414981
2000-12-26,9.2496337890625,-0.18053281329986476,-0.18053281329986476
2000-12-27,7.0,-0.5679636064780786,-0.5679636064780786
2000-12-28,6.24951171875,-0.6972123186414981,-0.6972123186414981
2001-01-01,22.748779296875,2.1442831975315846,2.1442831975315846
2001-01-02,31.2496337890625,3.6082960580306693,3.6082960580306693
2001-01-03,15.0,0.8097923467330247,0.8097923467330247
2001-01-04,16.5008544921875,1.068268748172394,1.068268748172394
2001-01-07,11.7503662109375,0.25014205940342293,0.25014205940342293
2001-01-08,8.0,-0.3957441123266907,-0.3957441123266907
2001-01-09,13.0,0.46535335843024883,0.46535335843024883
2001-01-10,12.0,0.29313386427886096,0.29313386427886096
2001-01-11,16.24951171875,1.024982622872381,1.024982622872381
2001-01-15,7.748779296875,-0.4390092147392342,-0.4390092147392342
2001-01-16,18.4991455078125,1.4124134160505948,1.4124134160505948
2001-01-17,11.75048828125,0.25016308229089257,0.25016308229089257
2001-01-18,10.500732421875,0.034930760376596995,0.034930760376596995
