Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZN)"
count,170.0
mean,4.191211655560662
std,2.152830237700806
min,0.25
10%,2.25
25%,3.0
50%,3.75
75%,5.0
95%,6.75
99%,15.155000000000001
max,16.0
skewness,2.9399548034300325
kurtosis,12.651349832520765
