Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.25,-0.5555341381691041,-0.5555341381691041
2024-10-15,0.375,-0.42936285499870086,-0.42936285499870086
2024-10-16,0.4374992000000475,-0.36627802090966355,-0.36627802090966355
2024-10-17,0.4375007999999525,-0.36627640591733485,-0.36627640591733485
2024-10-18,0.4374992000000475,-0.36627802090966355,-0.36627802090966355
2024-10-21,0.375,-0.42936285499870086,-0.42936285499870086
2024-10-22,0.375,-0.42936285499870086,-0.42936285499870086
2024-10-23,0.4374992000000475,-0.36627802090966355,-0.36627802090966355
2024-10-24,0.5625007999999525,-0.24010512274693158,-0.24010512274693158
2024-10-25,0.625,-0.1770202886578943,-0.1770202886578943
2024-10-28,0.5,-0.3031915718282976,-0.3031915718282976
2024-10-29,0.9374992000000475,0.13840711177194956,0.13840711177194956
2024-11-04,0.5625007999999525,-0.24010512274693158,-0.24010512274693158
2024-11-05,0.8124992000000475,0.012235828601546275,0.012235828601546275
2024-11-06,0.625,-0.1770202886578943,-0.1770202886578943
2024-11-07,0.9374992000000475,0.13840711177194956,0.13840711177194956
2024-11-08,0.5,-0.3031915718282976,-0.3031915718282976
2024-11-11,0.5625007999999525,-0.24010512274693158,-0.24010512274693158
2024-11-12,0.4374992000000475,-0.36627802090966355,-0.36627802090966355
2024-11-15,0.4374992000000475,-0.36627802090966355,-0.36627802090966355
2024-11-18,0.375,-0.42936285499870086,-0.42936285499870086
2024-11-19,0.5,-0.3031915718282976,-0.3031915718282976
2024-11-20,0.5,-0.3031915718282976,-0.3031915718282976
2024-11-21,0.4374992000000475,-0.36627802090966355,-0.36627802090966355
2024-11-22,0.5,-0.3031915718282976,-0.3031915718282976
2024-11-25,0.4374992000000475,-0.36627802090966355,-0.36627802090966355
2024-11-26,0.5,-0.3031915718282976,-0.3031915718282976
2024-12-02,3.5625,2.788004865846583,2.788004865846583
2024-12-03,0.5,-0.3031915718282976,-0.3031915718282976
2024-12-04,0.375,-0.42936285499870086,-0.42936285499870086
2024-12-05,2.5625,1.7786346004833566,1.7786346004833566
2024-12-09,1.5,0.7061786935349287,0.7061786935349287
2024-12-10,1.1875,0.39075048560892045,0.39075048560892045
2024-12-13,0.375,-0.42936285499870086,-0.42936285499870086
2024-12-16,0.5,-0.3031915718282976,-0.3031915718282976
2024-12-17,0.375,-0.42936285499870086,-0.42936285499870086
2024-12-18,1.0,0.20149356085331555,0.20149356085331555
2024-12-23,0.375,-0.42936285499870086,-0.42936285499870086
2024-12-26,0.25,-0.5555341381691041,-0.5555341381691041
2024-12-27,0.375,-0.42936285499870086,-0.42936285499870086
2024-12-30,0.5,-0.3031915718282976,-0.3031915718282976
2024-12-31,0.25,-0.5555341381691041,-0.5555341381691041
2025-01-02,0.3125,-0.4924484965839025,-0.4924484965839025
2025-01-03,0.25,-0.5555341381691041,-0.5555341381691041
2025-01-06,0.5625,-0.24010593024309593,-0.24010593024309593
2025-01-07,0.375,-0.42936285499870086,-0.42936285499870086
2025-01-08,0.625,-0.1770202886578943,-0.1770202886578943
2025-01-13,0.625,-0.1770202886578943,-0.1770202886578943
2025-01-16,0.3125,-0.4924484965839025,-0.4924484965839025
2025-01-17,0.625,-0.1770202886578943,-0.1770202886578943
2025-01-21,0.5625,-0.24010593024309593,-0.24010593024309593
2025-01-22,0.4375,-0.3662772134134992,-0.3662772134134992
2025-01-23,0.3125,-0.4924484965839025,-0.4924484965839025
2025-01-24,0.375,-0.42936285499870086,-0.42936285499870086
