Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,6.0,0.30387991455844954,0.30387991455844954
2024-10-01,6.5,0.48450783579948603,0.48450783579948603
2024-10-02,2.0,-1.1411434553698425,-1.1411434553698425
2024-10-03,4.25,-0.3283178097851782,-0.3283178097851782
2024-10-07,2.5,-0.960515534128806,-0.960515534128806
2024-10-08,4.25,-0.3283178097851782,-0.3283178097851782
2024-10-09,1.75,-1.2314574159903606,-1.2314574159903606
2024-10-14,2.75,-0.8702015735082878,-0.8702015735082878
2024-10-15,2.75,-0.8702015735082878,-0.8702015735082878
2024-10-16,3.0,-0.7798876128877695,-0.7798876128877695
2024-10-17,1.75,-1.2314574159903606,-1.2314574159903606
2024-10-18,2.0,-1.1411434553698425,-1.1411434553698425
2024-10-21,4.5,-0.23800384916465997,-0.23800384916465997
2024-10-22,3.0,-0.7798876128877695,-0.7798876128877695
2024-10-23,3.5,-0.599259691646733,-0.599259691646733
2024-10-24,5.0,-0.057375927923623476,-0.057375927923623476
2024-10-25,5.75,0.21356595393793126,0.21356595393793126
2024-10-28,5.75,0.21356595393793126,0.21356595393793126
2024-10-29,6.75,0.5748217964200043,0.5748217964200043
2024-11-04,7.25,0.7554497176610407,0.7554497176610407
2024-11-05,7.75,0.9360776389020773,0.9360776389020773
2024-11-06,6.75,0.5748217964200043,0.5748217964200043
2024-11-07,5.5,0.12325199331741303,0.12325199331741303
2024-11-08,6.0,0.30387991455844954,0.30387991455844954
2024-11-11,2.0,-1.1411434553698425,-1.1411434553698425
2024-11-12,4.0,-0.4186317704056965,-0.4186317704056965
2024-11-15,10.5,1.929531205727778,1.929531205727778
2024-11-18,5.5,0.12325199331741303,0.12325199331741303
2024-11-19,3.0,-0.7798876128877695,-0.7798876128877695
2024-11-20,2.75,-0.8702015735082878,-0.8702015735082878
2024-11-21,7.0,0.6651357570405225,0.6651357570405225
2024-11-22,3.25,-0.6895736522672512,-0.6895736522672512
2024-11-25,5.25,0.03293803269689478,0.03293803269689478
2024-11-26,2.75,-0.8702015735082878,-0.8702015735082878
2024-11-28,4.5,-0.23800384916465997,-0.23800384916465997
2024-11-29,5.75,0.21356595393793126,0.21356595393793126
2024-12-02,8.75,1.2973334813841502,1.2973334813841502
2024-12-03,6.25,0.39419387517896776,0.39419387517896776
2024-12-04,6.5,0.48450783579948603,0.48450783579948603
2024-12-05,6.5,0.48450783579948603,0.48450783579948603
2024-12-09,3.5,-0.599259691646733,-0.599259691646733
2024-12-10,5.5,0.12325199331741303,0.12325199331741303
2024-12-13,4.5,-0.23800384916465997,-0.23800384916465997
2024-12-16,3.5,-0.599259691646733,-0.599259691646733
2024-12-17,2.25,-1.0508294947493242,-1.0508294947493242
2024-12-18,15.5,3.7358104181381426,3.7358104181381426
2024-12-23,4.75,-0.14768988854414172,-0.14768988854414172
2024-12-24,4.5,-0.23800384916465997,-0.23800384916465997
2024-12-26,7.25,0.7554497176610407,0.7554497176610407
2024-12-27,5.0,-0.057375927923623476,-0.057375927923623476
2024-12-30,2.75,-0.8702015735082878,-0.8702015735082878
2024-12-31,6.75,0.5748217964200043,0.5748217964200043
2025-01-02,7.5,0.8457636782815591,0.8457636782815591
2025-01-03,4.0,-0.4186317704056965,-0.4186317704056965
2025-01-06,4.5,-0.23800384916465997,-0.23800384916465997
2025-01-07,3.75,-0.5089457310262148,-0.5089457310262148
2025-01-08,3.0,-0.7798876128877695,-0.7798876128877695
2025-01-09,2.5,-0.960515534128806,-0.960515534128806
2025-01-13,3.25,-0.6895736522672512,-0.6895736522672512
2025-01-16,10.0,1.7489032844867416,1.7489032844867416
2025-01-17,3.75,-0.5089457310262148,-0.5089457310262148
2025-01-20,2.75,-0.8702015735082878,-0.8702015735082878
2025-01-21,3.25,-0.6895736522672512,-0.6895736522672512
2025-01-22,5.5,0.12325199331741303,0.12325199331741303
2025-01-23,3.25,-0.6895736522672512,-0.6895736522672512
2025-01-24,3.75,-0.5089457310262148,-0.5089457310262148
2025-01-27,4.5,-0.23800384916465997,-0.23800384916465997
2025-01-28,4.0,-0.4186317704056965,-0.4186317704056965
2025-01-29,8.75,1.2973334813841502,1.2973334813841502
2025-02-03,6.25,0.39419387517896776,0.39419387517896776
2025-02-04,3.25,-0.6895736522672512,-0.6895736522672512
2025-02-05,3.5,-0.599259691646733,-0.599259691646733
2025-02-06,4.25,-0.3283178097851782,-0.3283178097851782
2025-02-10,4.0,-0.4186317704056965,-0.4186317704056965
2025-02-11,2.5,-0.960515534128806,-0.960515534128806
2025-02-14,3.25,-0.6895736522672512,-0.6895736522672512
2025-02-17,1.0,-1.5023992978519154,-1.5023992978519154
2025-02-18,4.0,-0.4186317704056965,-0.4186317704056965
2025-02-19,3.25,-0.6895736522672512,-0.6895736522672512
2025-02-20,1.75,-1.2314574159903606,-1.2314574159903606
2025-02-21,6.25,0.39419387517896776,0.39419387517896776
2025-02-24,3.5,-0.599259691646733,-0.599259691646733
2025-02-25,4.0,-0.4186317704056965,-0.4186317704056965
2025-02-26,8.75,1.2973334813841502,1.2973334813841502
2025-03-03,4.75,-0.14768988854414172,-0.14768988854414172
2025-03-04,13.25,2.9229847725534785,2.9229847725534785
2025-03-05,7.0,0.6651357570405225,0.6651357570405225
2025-03-06,7.5,0.8457636782815591,0.8457636782815591
2025-03-10,3.25,-0.6895736522672512,-0.6895736522672512
2025-03-11,12.0,2.4714149694508873,2.4714149694508873
