Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,3.25,-0.514823399430382,-0.514823399430382
2024-10-01,1.75,-1.20942639866185,-1.20942639866185
2024-10-02,6.25,0.8743825990325541,0.8743825990325541
2024-10-03,3.25,-0.514823399430382,-0.514823399430382
2024-10-07,4.0,-0.167521899814648,-0.167521899814648
2024-10-08,3.75,-0.283289066353226,-0.283289066353226
2024-10-09,4.0,-0.167521899814648,-0.167521899814648
2024-10-14,3.25,-0.514823399430382,-0.514823399430382
2024-10-15,4.5,0.06401243326250802,0.06401243326250802
2024-10-16,3.25,-0.514823399430382,-0.514823399430382
2024-10-17,6.75,1.1059169321097102,1.1059169321097102
2024-10-18,4.25,-0.051754733276069984,-0.051754733276069984
2024-10-21,2.5,-0.862124899046116,-0.862124899046116
2024-10-22,4.5,0.06401243326250802,0.06401243326250802
2024-10-23,4.5,0.06401243326250802,0.06401243326250802
2024-10-24,3.75,-0.283289066353226,-0.283289066353226
2024-10-25,3.75,-0.283289066353226,-0.283289066353226
2024-10-28,3.5,-0.39905623289180403,-0.39905623289180403
2024-10-29,4.75,0.17977959980108604,0.17977959980108604
2024-11-04,3.0,-0.63059056596896,-0.63059056596896
2024-11-05,3.5,-0.39905623289180403,-0.39905623289180403
2024-11-06,6.25,0.8743825990325541,0.8743825990325541
2024-11-07,10.0,2.6108900971112243,2.6108900971112243
2024-11-08,4.0,-0.167521899814648,-0.167521899814648
2024-11-11,3.25,-0.514823399430382,-0.514823399430382
2024-11-12,4.0,-0.167521899814648,-0.167521899814648
2024-11-15,10.25,2.7266572636498023,2.7266572636498023
2024-11-18,5.25,0.41131393287824203,0.41131393287824203
2024-11-19,5.0,0.29554676633966404,0.29554676633966404
2024-11-20,3.25,-0.514823399430382,-0.514823399430382
2024-11-21,4.5,0.06401243326250802,0.06401243326250802
2024-11-22,3.0,-0.63059056596896,-0.63059056596896
2024-11-25,9.5,2.3793557640340683,2.3793557640340683
2024-11-26,3.25,-0.514823399430382,-0.514823399430382
2024-11-28,4.75,0.17977959980108604,0.17977959980108604
2024-11-29,3.25,-0.514823399430382,-0.514823399430382
2024-12-02,8.25,1.8005199313411782,1.8005199313411782
2024-12-03,7.75,1.5689855982640222,1.5689855982640222
2024-12-04,1.5,-1.325193565200428,-1.325193565200428
2024-12-05,5.75,0.642848265955398,0.642848265955398
2024-12-09,4.0,-0.167521899814648,-0.167521899814648
2024-12-10,3.75,-0.283289066353226,-0.283289066353226
2024-12-13,3.0,-0.63059056596896,-0.63059056596896
2024-12-16,1.75,-1.20942639866185,-1.20942639866185
2024-12-17,5.75,0.642848265955398,0.642848265955398
2024-12-18,5.5,0.52708109941682,0.52708109941682
2024-12-23,2.5,-0.862124899046116,-0.862124899046116
2024-12-24,0.75,-1.672495064816162,-1.672495064816162
2024-12-26,2.0,-1.093659232123272,-1.093659232123272
2024-12-27,2.75,-0.746357732507538,-0.746357732507538
2024-12-30,4.5,0.06401243326250802,0.06401243326250802
2024-12-31,3.0,-0.63059056596896,-0.63059056596896
2025-01-02,4.25,-0.051754733276069984,-0.051754733276069984
2025-01-03,3.0,-0.63059056596896,-0.63059056596896
2025-01-06,4.0,-0.167521899814648,-0.167521899814648
2025-01-07,2.25,-0.9778920655846941,-0.9778920655846941
2025-01-08,5.5,0.52708109941682,0.52708109941682
2025-01-09,2.75,-0.746357732507538,-0.746357732507538
2025-01-13,4.0,-0.167521899814648,-0.167521899814648
2025-01-16,5.0,0.29554676633966404,0.29554676633966404
2025-01-17,5.25,0.41131393287824203,0.41131393287824203
2025-01-20,8.0,1.6847527648026002,1.6847527648026002
2025-01-21,3.5,-0.39905623289180403,-0.39905623289180403
2025-01-22,3.0,-0.63059056596896,-0.63059056596896
2025-01-23,4.75,0.17977959980108604,0.17977959980108604
2025-01-24,1.75,-1.20942639866185,-1.20942639866185
2025-01-27,6.0,0.7586154324939761,0.7586154324939761
2025-01-28,2.5,-0.862124899046116,-0.862124899046116
2025-01-29,2.75,-0.746357732507538,-0.746357732507538
2025-02-03,5.0,0.29554676633966404,0.29554676633966404
2025-02-04,3.0,-0.63059056596896,-0.63059056596896
2025-02-05,2.25,-0.9778920655846941,-0.9778920655846941
2025-02-06,4.25,-0.051754733276069984,-0.051754733276069984
2025-02-10,3.75,-0.283289066353226,-0.283289066353226
2025-02-11,2.0,-1.093659232123272,-1.093659232123272
2025-02-14,8.0,1.6847527648026002,1.6847527648026002
