Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.510629904102915,-0.510629904102915
2024-10-15,9.0,-0.006983997552537782,-0.006983997552537782
2024-10-16,8.0,-0.2084423601726887,-0.2084423601726887
2024-10-17,4.5,-0.9135466293432168,-0.9135466293432168
2024-10-18,7.5,-0.30917154148276416,-0.30917154148276416
2024-10-21,12.5,0.6981202716179904,0.6981202716179904
2024-10-22,6.0,-0.6113590854129904,-0.6113590854129904
2024-10-23,4.5,-0.9135466293432168,-0.9135466293432168
2024-10-24,9.0,-0.006983997552537782,-0.006983997552537782
2024-10-25,7.5,-0.30917154148276416,-0.30917154148276416
2024-10-28,9.0,-0.006983997552537782,-0.006983997552537782
2024-10-29,12.0,0.5973910903079149,0.5973910903079149
2024-11-04,9.5,0.09374518375753767,0.09374518375753767
2024-11-05,7.5,-0.30917154148276416,-0.30917154148276416
2024-11-06,26.5,3.518537348300103,3.518537348300103
2024-11-07,14.5,1.1010369968582923,1.1010369968582923
2024-11-08,10.5,0.2952035463776886,0.2952035463776886
2024-11-11,6.5,-0.510629904102915,-0.510629904102915
2024-11-12,12.0,0.5973910903079149,0.5973910903079149
2024-11-15,9.5,0.09374518375753767,0.09374518375753767
2024-11-18,10.0,0.19447436506761312,0.19447436506761312
2024-11-19,14.0,1.0003078155482168,1.0003078155482168
2024-11-20,7.0,-0.40990072279283957,-0.40990072279283957
2024-11-21,8.0,-0.2084423601726887,-0.2084423601726887
2024-11-22,9.0,-0.006983997552537782,-0.006983997552537782
2024-11-25,7.5,-0.30917154148276416,-0.30917154148276416
2024-11-26,5.5,-0.7120882667230659,-0.7120882667230659
2024-11-28,6.0,-0.6113590854129904,-0.6113590854129904
2024-11-29,9.5,0.09374518375753767,0.09374518375753767
2024-12-02,10.0,0.19447436506761312,0.19447436506761312
2024-12-03,8.0,-0.2084423601726887,-0.2084423601726887
2024-12-04,7.0,-0.40990072279283957,-0.40990072279283957
2024-12-05,9.0,-0.006983997552537782,-0.006983997552537782
2024-12-09,8.5,-0.10771317886261324,-0.10771317886261324
2024-12-10,11.5,0.49666190899783946,0.49666190899783946
2024-12-13,6.5,-0.510629904102915,-0.510629904102915
2024-12-16,4.0,-1.0142758106532923,-1.0142758106532923
2024-12-17,7.5,-0.30917154148276416,-0.30917154148276416
2024-12-18,7.0,-0.40990072279283957,-0.40990072279283957
2024-12-23,5.5,-0.7120882667230659,-0.7120882667230659
2024-12-26,4.0,-1.0142758106532923,-1.0142758106532923
2024-12-27,12.0,0.5973910903079149,0.5973910903079149
2024-12-30,5.5,-0.7120882667230659,-0.7120882667230659
2024-12-31,5.5,-0.7120882667230659,-0.7120882667230659
2025-01-02,12.5,0.6981202716179904,0.6981202716179904
2025-01-03,5.5,-0.7120882667230659,-0.7120882667230659
2025-01-06,10.0,0.19447436506761312,0.19447436506761312
2025-01-07,9.5,0.09374518375753767,0.09374518375753767
2025-01-08,8.5,-0.10771317886261324,-0.10771317886261324
2025-01-09,6.0,-0.6113590854129904,-0.6113590854129904
2025-01-13,5.0,-0.8128174480331414,-0.8128174480331414
2025-01-16,6.0,-0.6113590854129904,-0.6113590854129904
2025-01-17,7.0,-0.40990072279283957,-0.40990072279283957
2025-01-20,6.0,-0.6113590854129904,-0.6113590854129904
2025-01-21,10.5,0.2952035463776886,0.2952035463776886
2025-01-22,7.5,-0.30917154148276416,-0.30917154148276416
2025-01-23,10.0,0.19447436506761312,0.19447436506761312
2025-01-24,7.5,-0.30917154148276416,-0.30917154148276416
2025-01-27,18.0,1.8061412660288203,1.8061412660288203
2025-01-28,6.5,-0.510629904102915,-0.510629904102915
2025-01-29,5.0,-0.8128174480331414,-0.8128174480331414
2025-02-03,10.0,0.19447436506761312,0.19447436506761312
2025-02-04,9.5,0.09374518375753767,0.09374518375753767
2025-02-05,9.0,-0.006983997552537782,-0.006983997552537782
2025-02-06,6.004028320312273,-0.6105475465987705,-0.6105475465987705
2025-02-10,7.0,-0.40990072279283957,-0.40990072279283957
2025-02-11,8.5,-0.10771317886261324,-0.10771317886261324
2025-02-14,5.5,-0.7120882667230659,-0.7120882667230659
2025-02-17,4.0,-1.0142758106532923,-1.0142758106532923
2025-02-18,3.5,-1.1150049919633678,-1.1150049919633678
2025-02-19,7.0,-0.40990072279283957,-0.40990072279283957
2025-02-20,6.0,-0.6113590854129904,-0.6113590854129904
2025-02-21,4.5,-0.9135466293432168,-0.9135466293432168
2025-02-24,6.5,-0.510629904102915,-0.510629904102915
2025-02-25,11.0,0.395932727687764,0.395932727687764
2025-02-26,8.5,-0.10771317886261324,-0.10771317886261324
2025-03-03,11.5,0.49666190899783946,0.49666190899783946
2025-03-04,13.5,0.8995786342381412,0.8995786342381412
2025-03-05,12.5,0.6981202716179904,0.6981202716179904
2025-03-06,10.5,0.2952035463776886,0.2952035463776886
2025-03-10,15.0,1.2017661781683677,1.2017661781683677
2025-03-11,10.0,0.19447436506761312,0.19447436506761312
2025-03-14,9.0,-0.006983997552537782,-0.006983997552537782
2025-03-17,8.0,-0.2084423601726887,-0.2084423601726887
2025-03-18,9.0,-0.006983997552537782,-0.006983997552537782
2025-03-19,6.5,-0.510629904102915,-0.510629904102915
2025-03-20,9.0,-0.006983997552537782,-0.006983997552537782
2025-03-21,8.5,-0.10771317886261324,-0.10771317886261324
2025-03-24,5.5,-0.7120882667230659,-0.7120882667230659
2025-03-25,9.0,-0.006983997552537782,-0.006983997552537782
