Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,5.0,-0.05990432417206268,-0.05990432417206268
2024-11-05,8.0,1.1036197094862294,1.1036197094862294
2024-11-06,6.25,0.4248973565188924,0.4248973565188924
2024-11-07,12.25,2.7519454238354766,2.7519454238354766
2024-11-08,6.5,0.5218576926570834,0.5218576926570834
2024-11-11,5.75,0.23097668424251036,0.23097668424251036
2024-11-12,6.75,0.6188180287952744,0.6188180287952744
2024-11-15,10.25,1.9762627347299486,1.9762627347299486
2024-11-18,5.75,0.23097668424251036,0.23097668424251036
2024-11-19,5.5,0.13401634810431934,0.13401634810431934
2024-11-20,5.5,0.13401634810431934,0.13401634810431934
2024-11-21,5.75,0.23097668424251036,0.23097668424251036
2024-11-22,5.0,-0.05990432417206268,-0.05990432417206268
2024-11-25,9.75,1.7823420624535666,1.7823420624535666
2024-11-26,5.5,0.13401634810431934,0.13401634810431934
2024-11-29,5.25,0.03705601196612834,0.03705601196612834
2024-12-02,11.25,2.3641040792827126,2.3641040792827126
2024-12-03,9.0,1.4914610540389934,1.4914610540389934
2024-12-04,12.0,2.654985087697286,2.654985087697286
2024-12-05,6.0,0.3279370203807014,0.3279370203807014
2024-12-09,6.0,0.3279370203807014,0.3279370203807014
2024-12-10,6.5,0.5218576926570834,0.5218576926570834
2024-12-13,6.0,0.3279370203807014,0.3279370203807014
2024-12-16,5.5,0.13401634810431934,0.13401634810431934
2024-12-17,7.25,0.8127387010716565,0.8127387010716565
2024-12-18,5.5,0.13401634810431934,0.13401634810431934
2024-12-23,4.5,-0.2538249964484447,-0.2538249964484447
2024-12-24,2.0,-1.2234283578303549,-1.2234283578303549
2024-12-26,3.5,-0.6416663410012088,-0.6416663410012088
2024-12-27,4.75,-0.1568646603102537,-0.1568646603102537
2024-12-30,7.5,0.9096990372098475,0.9096990372098475
2024-12-31,6.0,0.3279370203807014,0.3279370203807014
2025-01-02,8.0,1.1036197094862294,1.1036197094862294
2025-01-03,5.0,-0.05990432417206268,-0.05990432417206268
2025-01-06,7.5,0.9096990372098475,0.9096990372098475
2025-01-07,8.0,1.1036197094862294,1.1036197094862294
2025-01-08,6.25,0.4248973565188924,0.4248973565188924
2025-01-09,4.0,-0.44774566872482674,-0.44774566872482674
2025-01-13,4.75,-0.1568646603102537,-0.1568646603102537
2025-01-16,10.75,2.1701834070063306,2.1701834070063306
2025-01-17,6.5,0.5218576926570834,0.5218576926570834
2025-01-20,8.0,1.1036197094862294,1.1036197094862294
2025-01-21,4.0,-0.44774566872482674,-0.44774566872482674
2025-01-22,5.5,0.13401634810431934,0.13401634810431934
2025-01-23,4.75,-0.1568646603102537,-0.1568646603102537
2025-01-24,6.75,0.6188180287952744,0.6188180287952744
2025-01-27,7.75,1.0066593733480385,1.0066593733480385
2025-01-28,4.25,-0.3507853325866357,-0.3507853325866357
2025-01-29,5.25,0.03705601196612834,0.03705601196612834
2025-02-03,5.25,0.03705601196612834,0.03705601196612834
2025-02-04,4.5,-0.2538249964484447,-0.2538249964484447
2025-02-05,4.5,-0.2538249964484447,-0.2538249964484447
2025-02-06,2.75,-0.9325473494157818,-0.9325473494157818
2025-02-10,3.0,-0.8355870132775908,-0.8355870132775908
2025-02-11,3.5,-0.6416663410012088,-0.6416663410012088
2025-02-14,2.75,-0.9325473494157818,-0.9325473494157818
2025-02-17,2.0,-1.2234283578303549,-1.2234283578303549
2025-02-18,1.75,-1.3203886939685459,-1.3203886939685459
2025-02-19,2.5,-1.0295076855539729,-1.0295076855539729
2025-02-20,2.75,-0.9325473494157818,-0.9325473494157818
2025-02-21,3.0,-0.8355870132775908,-0.8355870132775908
2025-02-24,2.5,-1.0295076855539729,-1.0295076855539729
2025-02-25,5.75,0.23097668424251036,0.23097668424251036
2025-02-26,3.75,-0.5447060048630178,-0.5447060048630178
2025-03-03,4.25,-0.3507853325866357,-0.3507853325866357
2025-03-04,5.75,0.23097668424251036,0.23097668424251036
2025-03-05,5.0,-0.05990432417206268,-0.05990432417206268
2025-03-06,5.25,0.03705601196612834,0.03705601196612834
2025-03-10,6.5,0.5218576926570834,0.5218576926570834
2025-03-11,5.75,0.23097668424251036,0.23097668424251036
2025-03-14,2.75,-0.9325473494157818,-0.9325473494157818
2025-03-17,3.0059814453127274,-0.8332671614851338,-0.8332671614851338
2025-03-18,3.75,-0.5447060048630178,-0.5447060048630178
2025-03-19,3.25,-0.7386266771393998,-0.7386266771393998
2025-03-20,5.25,0.03705601196612834,0.03705601196612834
2025-03-21,4.5,-0.2538249964484447,-0.2538249964484447
2025-03-24,2.25,-1.1264680216921639,-1.1264680216921639
2025-03-25,4.75,-0.1568646603102537,-0.1568646603102537
2025-03-26,3.25,-0.7386266771393998,-0.7386266771393998
2025-03-31,3.5,-0.6416663410012088,-0.6416663410012088
2025-04-01,4.5,-0.2538249964484447,-0.2538249964484447
2025-04-02,6.25,0.4248973565188924,0.4248973565188924
2025-04-03,5.25,0.03705601196612834,0.03705601196612834
2025-04-04,15.0,3.8185091213555777,3.8185091213555777
2025-04-07,16.0,4.206350465908342,4.206350465908342
2025-04-08,6.0,0.3279370203807014,0.3279370203807014
2025-04-09,15.5,4.01242979363196,4.01242979363196
2025-04-14,6.75,0.6188180287952744,0.6188180287952744
2025-04-15,5.25,0.03705601196612834,0.03705601196612834
2025-04-16,5.5,0.13401634810431934,0.13401634810431934
2025-04-17,3.5,-0.6416663410012088,-0.6416663410012088
