Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-23,2.875,0.07973995784790207,0.07973995784790207
2025-04-24,1.875,-0.5244092991523547,-0.5244092991523547
2025-04-25,2.75,0.00422130072286997,0.00422130072286997
2025-04-28,2.875,0.07973995784790207,0.07973995784790207
2025-04-29,2.0,-0.4488906420273226,-0.4488906420273226
2025-05-01,3.0,0.15525861497293417,0.15525861497293417
2025-05-05,1.375,-0.8264839276524831,-0.8264839276524831
2025-05-06,2.375,-0.2223346706522263,-0.2223346706522263
2025-05-07,2.125,-0.3733719849022905,-0.3733719849022905
2025-05-08,2.125,-0.3733719849022905,-0.3733719849022905
2025-05-09,1.5,-0.750965270527451,-0.750965270527451
2025-05-12,7.0,2.571855642973961,2.571855642973961
2025-05-14,2.0,-0.4488906420273226,-0.4488906420273226
2025-05-16,2.25,-0.2978533277772584,-0.2978533277772584
2025-05-19,3.125,0.23077727209796625,0.23077727209796625
2025-05-20,2.375,-0.2223346706522263,-0.2223346706522263
2025-05-21,2.5,-0.14681601352719423,-0.14681601352719423
2025-05-22,1.875,-0.5244092991523547,-0.5244092991523547
2025-05-23,2.125,-0.3733719849022905,-0.3733719849022905
2025-05-26,1.375,-0.8264839276524831,-0.8264839276524831
2025-05-27,1.5,-0.750965270527451,-0.750965270527451
2025-05-28,2.5,-0.14681601352719423,-0.14681601352719423
2025-06-02,3.75,0.6083705577231268,0.6083705577231268
2025-06-03,2.0,-0.4488906420273226,-0.4488906420273226
2025-06-04,2.625,-0.07129735640216213,-0.07129735640216213
2025-06-05,2.375,-0.2223346706522263,-0.2223346706522263
2025-06-09,1.258056640625,-0.8971351713300034,-0.8971351713300034
2025-06-10,2.75,0.00422130072286997,0.00422130072286997
2025-06-13,5.125,1.4390757860984797,1.4390757860984797
2025-06-16,2.875,0.07973995784790207,0.07973995784790207
2025-06-17,1.875,-0.5244092991523547,-0.5244092991523547
2025-06-18,2.75,0.00422130072286997,0.00422130072286997
2025-06-19,1.5,-0.750965270527451,-0.750965270527451
2025-06-20,3.125,0.23077727209796625,0.23077727209796625
2025-06-23,1.625,-0.675446613402419,-0.675446613402419
2025-06-24,2.25,-0.2978533277772584,-0.2978533277772584
2025-06-25,1.625,-0.675446613402419,-0.675446613402419
2025-06-30,2.875,0.07973995784790207,0.07973995784790207
2025-07-01,2.0,-0.4488906420273226,-0.4488906420273226
2025-07-02,2.125,-0.3733719849022905,-0.3733719849022905
2025-07-04,3.25,0.30629592922299836,0.30629592922299836
2025-07-07,2.0,-0.4488906420273226,-0.4488906420273226
2025-07-08,2.0,-0.4488906420273226,-0.4488906420273226
2025-07-09,1.5,-0.750965270527451,-0.750965270527451
2025-07-10,1.375,-0.8264839276524831,-0.8264839276524831
2025-07-11,2.25,-0.2978533277772584,-0.2978533277772584
2025-07-14,1.125,-0.9775212419025473,-0.9775212419025473
2025-07-17,1.625,-0.675446613402419,-0.675446613402419
2025-07-18,1.25,-0.9020025847775152,-0.9020025847775152
2025-07-21,3.125,0.23077727209796625,0.23077727209796625
2025-07-22,1.875,-0.5244092991523547,-0.5244092991523547
2025-07-23,1.25,-0.9020025847775152,-0.9020025847775152
2025-07-24,1.125,-0.9775212419025473,-0.9775212419025473
2025-07-25,1.375,-0.8264839276524831,-0.8264839276524831
