Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.125,-0.3733719849022905,-0.3733719849022905
2024-10-15,2.125,-0.3733719849022905,-0.3733719849022905
2024-10-16,2.375,-0.2223346706522263,-0.2223346706522263
2024-10-17,1.125,-0.9775212419025473,-0.9775212419025473
2024-10-18,1.625,-0.675446613402419,-0.675446613402419
2024-10-21,4.0,0.7594078719731909,0.7594078719731909
2024-10-22,1.25,-0.9020025847775152,-0.9020025847775152
2024-10-23,1.25,-0.9020025847775152,-0.9020025847775152
2024-10-24,2.375,-0.2223346706522263,-0.2223346706522263
2024-10-25,1.625,-0.675446613402419,-0.675446613402419
2024-10-28,2.875,0.07973995784790207,0.07973995784790207
2024-10-29,2.875,0.07973995784790207,0.07973995784790207
2024-11-04,2.5,-0.14681601352719423,-0.14681601352719423
2024-11-05,2.25,-0.2978533277772584,-0.2978533277772584
2024-11-06,5.625,1.7411504145986083,1.7411504145986083
2024-11-07,3.375,0.38181458634803045,0.38181458634803045
2024-11-08,3.375,0.38181458634803045,0.38181458634803045
2024-11-11,2.375,-0.2223346706522263,-0.2223346706522263
2024-11-12,3.125,0.23077727209796625,0.23077727209796625
2024-11-15,3.375,0.38181458634803045,0.38181458634803045
2024-11-18,2.625,-0.07129735640216213,-0.07129735640216213
2024-11-19,5.0,1.3635571289734478,1.3635571289734478
2024-11-20,2.25,-0.2978533277772584,-0.2978533277772584
2024-11-21,2.375,-0.2223346706522263,-0.2223346706522263
2024-11-22,2.625,-0.07129735640216213,-0.07129735640216213
2024-11-25,2.625,-0.07129735640216213,-0.07129735640216213
2024-11-26,1.625,-0.675446613402419,-0.675446613402419
2024-11-28,1.25,-0.9020025847775152,-0.9020025847775152
2024-11-29,1.5,-0.750965270527451,-0.750965270527451
2024-12-02,4.875,1.2880384718484157,1.2880384718484157
2024-12-03,4.5,1.0614825004733193,1.0614825004733193
2024-12-04,2.125,-0.3733719849022905,-0.3733719849022905
2024-12-05,4.25,0.9104451862232551,0.9104451862232551
2024-12-09,3.125,0.23077727209796625,0.23077727209796625
2024-12-10,3.0,0.15525861497293417,0.15525861497293417
2024-12-13,2.375,-0.2223346706522263,-0.2223346706522263
2024-12-16,1.375,-0.8264839276524831,-0.8264839276524831
2024-12-17,2.875,0.07973995784790207,0.07973995784790207
2024-12-18,1.875,-0.5244092991523547,-0.5244092991523547
2024-12-23,1.625,-0.675446613402419,-0.675446613402419
2024-12-26,0.875,-1.1285585561526115,-1.1285585561526115
2024-12-27,2.25,-0.2978533277772584,-0.2978533277772584
2024-12-30,2.25,-0.2978533277772584,-0.2978533277772584
2024-12-31,1.5,-0.750965270527451,-0.750965270527451
2025-01-02,3.875,0.6838892148481589,0.6838892148481589
2025-01-03,1.5,-0.750965270527451,-0.750965270527451
2025-01-06,3.5,0.45733324347306253,0.45733324347306253
2025-01-07,2.0059814453127274,-0.4452769562858507,-0.4452769562858507
2025-01-08,2.5,-0.14681601352719423,-0.14681601352719423
2025-01-09,2.125,-0.3733719849022905,-0.3733719849022905
2025-01-13,1.5,-0.750965270527451,-0.750965270527451
2025-01-16,1.625,-0.675446613402419,-0.675446613402419
2025-01-17,1.625,-0.675446613402419,-0.675446613402419
2025-01-20,1.625,-0.675446613402419,-0.675446613402419
2025-01-21,4.25,0.9104451862232551,0.9104451862232551
2025-01-22,2.0,-0.4488906420273226,-0.4488906420273226
2025-01-23,2.375,-0.2223346706522263,-0.2223346706522263
2025-01-24,2.375,-0.2223346706522263,-0.2223346706522263
2025-01-27,7.0,2.571855642973961,2.571855642973961
2025-01-28,2.0,-0.4488906420273226,-0.4488906420273226
2025-01-29,1.5,-0.750965270527451,-0.750965270527451
2025-02-03,3.25,0.30629592922299836,0.30629592922299836
2025-02-04,2.625,-0.07129735640216213,-0.07129735640216213
2025-02-05,2.75,0.00422130072286997,0.00422130072286997
2025-02-06,1.875,-0.5244092991523547,-0.5244092991523547
2025-02-10,1.75,-0.5999279562773868,-0.5999279562773868
2025-02-11,1.75,-0.5999279562773868,-0.5999279562773868
2025-02-14,1.75,-0.5999279562773868,-0.5999279562773868
2025-02-17,1.375,-0.8264839276524831,-0.8264839276524831
2025-02-18,1.0,-1.0530398990275793,-1.0530398990275793
2025-02-19,1.125,-0.9775212419025473,-0.9775212419025473
2025-02-20,1.375,-0.8264839276524831,-0.8264839276524831
2025-02-21,1.75,-0.5999279562773868,-0.5999279562773868
2025-02-24,1.5,-0.750965270527451,-0.750965270527451
2025-02-25,3.5,0.45733324347306253,0.45733324347306253
2025-02-26,4.5,1.0614825004733193,1.0614825004733193
2025-03-03,5.5,1.6656317574735762,1.6656317574735762
2025-03-04,6.625,2.345299671598865,2.345299671598865
2025-03-05,6.0,1.9677063859737045,1.9677063859737045
2025-03-06,5.5,1.6656317574735762,1.6656317574735762
2025-03-10,6.625,2.345299671598865,2.345299671598865
2025-03-11,6.75,2.4208183287238967,2.4208183287238967
2025-03-14,1.625,-0.675446613402419,-0.675446613402419
2025-03-17,3.75,0.6083705577231268,0.6083705577231268
2025-03-18,2.0,-0.4488906420273226,-0.4488906420273226
2025-03-19,1.75,-0.5999279562773868,-0.5999279562773868
2025-03-20,3.625,0.5328519005980946,0.5328519005980946
2025-03-21,2.75,0.00422130072286997,0.00422130072286997
2025-03-24,1.375,-0.8264839276524831,-0.8264839276524831
2025-03-25,2.75,0.00422130072286997,0.00422130072286997
2025-03-26,2.0,-0.4488906420273226,-0.4488906420273226
