Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,6.75,0.49773775530290754,0.49773775530290754
2022-12-21,7.75,0.8533407719257334,0.8533407719257334
2022-12-27,7.0,0.5866385094586141,0.5866385094586141
2022-12-28,4.5,-0.3023690320984507,-0.3023690320984507
2022-12-29,4.5,-0.3023690320984507,-0.3023690320984507
2022-12-30,6.0,0.23103549283578814,0.23103549283578814
2023-01-03,5.5,0.0532339845243752,0.0532339845243752
2023-01-04,3.0,-0.8357735570326895,-0.8357735570326895
2023-01-05,2.0,-1.1913765736555155,-1.1913765736555155
2023-01-09,4.75,-0.21346827794274423,-0.21346827794274423
2023-01-10,4.25,-0.39126978625415715,-0.39126978625415715
2023-01-11,3.5,-0.6579720487212766,-0.6579720487212766
2023-01-13,6.5,0.40883700114720106,0.40883700114720106
2023-01-17,7.0,0.5866385094586141,0.5866385094586141
2023-01-19,6.5,0.40883700114720106,0.40883700114720106
2023-01-20,3.75,-0.5690712945655702,-0.5690712945655702
2023-01-23,6.25,0.31993624699149464,0.31993624699149464
2023-01-24,8.5,1.120043034392853,1.120043034392853
2023-01-25,4.25,-0.39126978625415715,-0.39126978625415715
2023-01-30,3.75,-0.5690712945655702,-0.5690712945655702
2023-01-31,6.75,0.49773775530290754,0.49773775530290754
2023-02-01,3.75,-0.5690712945655702,-0.5690712945655702
2023-02-02,10.5,1.8312490676385047,1.8312490676385047
2023-02-06,5.25,-0.03566676963133127,-0.03566676963133127
2023-02-07,4.5,-0.3023690320984507,-0.3023690320984507
2023-02-08,4.0,-0.4801705404098636,-0.4801705404098636
2023-02-09,3.5,-0.6579720487212766,-0.6579720487212766
2023-02-10,4.25,-0.39126978625415715,-0.39126978625415715
2023-02-13,4.0,-0.4801705404098636,-0.4801705404098636
2023-02-15,6.25,0.31993624699149464,0.31993624699149464
2023-02-17,2.75,-0.924674311188396,-0.924674311188396
2023-02-21,8.5,1.120043034392853,1.120043034392853
2023-02-22,5.5,0.0532339845243752,0.0532339845243752
2023-02-27,17.25,4.23156942984258,4.23156942984258
2023-02-28,13.5,2.898058117506982,2.898058117506982
2023-03-01,11.75,2.275752838417037,2.275752838417037
2023-03-02,15.25,3.5203633965969274,3.5203633965969274
2023-03-03,12.25,2.45355434672845,2.45355434672845
2023-03-06,12.0,2.3646535925727434,2.3646535925727434
2023-03-07,4.25,-0.39126978625415715,-0.39126978625415715
2023-03-08,9.25,1.3867452968599723,1.3867452968599723
2023-03-09,8.75,1.2089437885485594,1.2089437885485594
2023-03-13,24.5,6.809691300358068,6.809691300358068
2023-03-16,12.5,2.5424551008841565,2.5424551008841565
2023-03-17,10.75,1.9201498217942112,1.9201498217942112
2023-03-20,17.5,4.320470183998286,4.320470183998286
2023-03-21,7.75,0.8533407719257334,0.8533407719257334
2023-03-22,6.25,0.31993624699149464,0.31993624699149464
2023-03-23,7.25,0.6755392636143205,0.6755392636143205
2023-03-24,5.25,-0.03566676963133127,-0.03566676963133127
2023-03-27,6.75,0.49773775530290754,0.49773775530290754
2023-03-28,7.25,0.6755392636143205,0.6755392636143205
2023-03-29,9.0,1.2978445427042657,1.2978445427042657
2023-04-03,7.0,0.5866385094586141,0.5866385094586141
2023-04-04,4.5,-0.3023690320984507,-0.3023690320984507
2023-04-05,11.0,2.0090505759499178,2.0090505759499178
2023-04-06,8.5,1.120043034392853,1.120043034392853
2023-04-10,8.5,1.120043034392853,1.120043034392853
2023-04-11,5.5,0.0532339845243752,0.0532339845243752
2023-04-14,14.0,3.0758596258183952,3.0758596258183952
2023-04-17,4.25,-0.39126978625415715,-0.39126978625415715
2023-04-18,4.75,-0.21346827794274423,-0.21346827794274423
2023-04-19,3.5,-0.6579720487212766,-0.6579720487212766
2023-04-20,6.0,0.23103549283578814,0.23103549283578814
2023-04-21,8.25,1.0311422802371464,1.0311422802371464
2023-04-24,3.0,-0.8357735570326895,-0.8357735570326895
2023-04-25,5.0,-0.12456752378703775,-0.12456752378703775
2023-04-26,8.5,1.120043034392853,1.120043034392853
2023-05-01,5.75,0.14213473868008167,0.14213473868008167
2023-05-02,5.0,-0.12456752378703775,-0.12456752378703775
2023-05-03,4.0,-0.4801705404098636,-0.4801705404098636
2023-05-04,8.75,1.2089437885485594,1.2089437885485594
2023-05-08,6.25,0.31993624699149464,0.31993624699149464
2023-05-09,4.75,-0.21346827794274423,-0.21346827794274423
2023-05-12,4.25,-0.39126978625415715,-0.39126978625415715
2023-05-15,5.25,-0.03566676963133127,-0.03566676963133127
2023-05-16,2.25,-1.102475819499809,-1.102475819499809
2023-05-17,5.0,-0.12456752378703775,-0.12456752378703775
2023-05-18,6.25,0.31993624699149464,0.31993624699149464
2023-05-19,6.0,0.23103549283578814,0.23103549283578814
2023-05-22,6.0,0.23103549283578814,0.23103549283578814
2023-05-23,2.25,-1.102475819499809,-1.102475819499809
2023-05-24,3.75,-0.5690712945655702,-0.5690712945655702
2023-05-30,19.75,5.120576971399644,5.120576971399644
2023-05-31,4.25,-0.39126978625415715,-0.39126978625415715
2023-06-01,10.0,1.6534475593270916,1.6534475593270916
2023-06-05,3.0,-0.8357735570326895,-0.8357735570326895
2023-06-06,8.5,1.120043034392853,1.120043034392853
2023-06-07,4.5,-0.3023690320984507,-0.3023690320984507
2023-06-08,10.75,1.9201498217942112,1.9201498217942112
2023-06-09,8.25,1.0311422802371464,1.0311422802371464
2023-06-12,8.75,1.2089437885485594,1.2089437885485594
2023-06-15,10.25,1.7423483134827982,1.7423483134827982
2023-06-16,7.25,0.6755392636143205,0.6755392636143205
2023-06-20,6.5,0.40883700114720106,0.40883700114720106
2023-06-21,5.5,0.0532339845243752,0.0532339845243752
2023-06-22,9.75,1.5645468051713853,1.5645468051713853
2023-06-23,6.5,0.40883700114720106,0.40883700114720106
2023-06-26,6.75,0.49773775530290754,0.49773775530290754
2023-06-27,5.5,0.0532339845243752,0.0532339845243752
2023-06-28,2.75,-0.924674311188396,-0.924674311188396
2023-07-05,4.5,-0.3023690320984507,-0.3023690320984507
2023-07-06,2.0,-1.1913765736555155,-1.1913765736555155
2023-07-10,6.5,0.40883700114720106,0.40883700114720106
2023-07-11,3.5,-0.6579720487212766,-0.6579720487212766
2023-07-14,5.0,-0.12456752378703775,-0.12456752378703775
2023-07-17,8.0,0.94224152608144,0.94224152608144
2023-07-18,7.25,0.6755392636143205,0.6755392636143205
2023-07-19,5.5,0.0532339845243752,0.0532339845243752
2023-07-20,5.5,0.0532339845243752,0.0532339845243752
2023-07-21,5.0,-0.12456752378703775,-0.12456752378703775
2023-07-24,5.5,0.0532339845243752,0.0532339845243752
2023-07-25,4.75,-0.21346827794274423,-0.21346827794274423
2023-07-26,4.5,-0.3023690320984507,-0.3023690320984507
2023-07-31,4.75,-0.21346827794274423,-0.21346827794274423
2023-08-01,7.5,0.764440017770027,0.764440017770027
2023-08-02,8.5,1.120043034392853,1.120043034392853
2023-08-03,7.75,0.8533407719257334,0.8533407719257334
2023-08-07,6.25,0.31993624699149464,0.31993624699149464
2023-08-08,4.25,-0.39126978625415715,-0.39126978625415715
2023-08-09,4.75,-0.21346827794274423,-0.21346827794274423
2023-08-14,8.75,1.2089437885485594,1.2089437885485594
2023-08-15,12.25,2.45355434672845,2.45355434672845
2023-08-16,5.25,-0.03566676963133127,-0.03566676963133127
2023-08-17,4.5,-0.3023690320984507,-0.3023690320984507
2023-08-18,6.5,0.40883700114720106,0.40883700114720106
2023-08-21,5.0,-0.12456752378703775,-0.12456752378703775
2023-08-22,6.25,0.31993624699149464,0.31993624699149464
2023-08-23,10.0,1.6534475593270916,1.6534475593270916
2023-08-24,4.5,-0.3023690320984507,-0.3023690320984507
2023-08-25,2.75,-0.924674311188396,-0.924674311188396
2023-08-28,6.0,0.23103549283578814,0.23103549283578814
2023-08-29,4.25,-0.39126978625415715,-0.39126978625415715
2023-09-05,10.0,1.6534475593270916,1.6534475593270916
2023-09-06,8.75,1.2089437885485594,1.2089437885485594
2023-09-07,9.5,1.4756460510156788,1.4756460510156788
2023-09-08,9.75,1.5645468051713853,1.5645468051713853
2023-09-11,9.0,1.2978445427042657,1.2978445427042657
2023-09-12,8.75,1.2089437885485594,1.2089437885485594
2023-09-15,3.25,-0.7468728028769831,-0.7468728028769831
2023-09-18,7.25,0.6755392636143205,0.6755392636143205
2023-09-19,5.75,0.14213473868008167,0.14213473868008167
2023-09-20,4.0,-0.4801705404098636,-0.4801705404098636
2023-09-21,7.5,0.764440017770027,0.764440017770027
2023-09-22,3.25,-0.7468728028769831,-0.7468728028769831
