Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)"
count,151.0
mean,4.137417218543046
std,2.297768617180926
min,1.25
10%,2.25
25%,2.75
50%,3.5
75%,4.875
95%,7.5
99%,13.5
max,15.5
skewness,2.325586391254862
kurtosis,7.263861218241091
